 (0.012112+0.002579j)  (-0.003437+0.073475j)  (0.007316+0.101741j)  (0.000518+0.005000j)  (-0.050439-0.004030j)  (-0.012327-0.003634j)  (-0.008491+0.012393j)  (0.002592-0.026016j)  (0.003827+0.009911j)  (-0.050990+0.052109j)  (0.036167-0.014517j)  (-0.966356-0.000910j)  (-0.001766+0.009861j)  (0.012317-0.014783j)  (-0.017202-0.009871j)  (-0.039147+0.010062j)  (0.000402+0.004678j)  (0.031851+0.027454j)  (0.015090-0.001925j)  (-0.002176-0.051365j)  (-0.005357+0.017123j)  (-0.001482+0.002930j)  (-0.012442-0.022563j)  (-0.034039-0.021664j)  (-0.013769+0.044587j)  (0.014555+0.001458j)  (-0.023470-0.003662j)  (-0.014173-0.084356j)  (0.000147-0.021105j)  (0.021887+0.000741j)  (0.030038+0.090119j)  (0.033406-0.091951j)
 (-0.001116-0.012317j)  (0.043744+0.001064j)  (0.014927-0.004333j)  (0.012487-0.022758j)  (-0.039884-0.057503j)  (0.012960+0.007145j)  (0.000539-0.000580j)  (-0.000546-0.019369j)  (0.003073+0.044220j)  (0.001559+0.023579j)  (0.022401+0.025722j)  (0.010865+0.014410j)  (-0.967073+0.014894j)  (0.000216-0.093032j)  (0.012497-0.016742j)  (-0.016286+0.011517j)  (-0.010621+0.042736j)  (0.014910-0.002640j)  (-0.001990-0.016615j)  (0.030892+0.006818j)  (-0.024337+0.004594j)  (0.024275-0.050927j)  (0.033920+0.014889j)  (0.039868-0.100626j)  (0.011277+0.068782j)  (-0.015870+0.071757j)  (0.003352+0.006378j)  (-0.016830-0.020368j)  (0.078302+0.064996j)  (-0.007656+0.025187j)  (0.000825-0.001174j)  (0.007431+0.011099j)
 (-0.004349-0.005724j)  (0.015500-0.000101j)  (-0.002260+0.081433j)  (0.005147-0.012231j)  (0.001756+0.009446j)  (-0.008401-0.008748j)  (-0.010667-0.007441j)  (0.032747-0.072479j)  (-0.000415-0.005432j)  (0.020403+0.010865j)  (0.002163-0.000460j)  (0.004419-0.007334j)  (0.008936-0.101090j)  (-0.975508+0.015153j)  (-0.006037-0.030623j)  (0.006328-0.007019j)  (0.000828+0.021430j)  (-0.016086-0.013577j)  (0.001712-0.003591j)  (0.029153-0.000092j)  (0.013686-0.007923j)  (0.001901+0.005491j)  (-0.007535-0.050136j)  (-0.034860+0.001790j)  (-0.006553+0.070491j)  (0.017930+0.067765j)  (-0.008932-0.039653j)  (-0.011001-0.002288j)  (0.012036+0.019841j)  (0.038976+0.004828j)  (-0.023934+0.030548j)  (0.030992+0.014785j)
 (-0.003914+0.003206j)  (-0.014615+0.089226j)  (-0.013953-0.099326j)  (0.023658-0.008390j)  (0.031733-0.004434j)  (-0.017188-0.016419j)  (-0.052908-0.104861j)  (0.018770+0.038401j)  (0.014297-0.022719j)  (-0.019792+0.017175j)  (0.004129-0.000688j)  (0.005801-0.003666j)  (-0.006084-0.002624j)  (0.000555-0.019026j)  (-0.959857+0.013463j)  (-0.007653-0.032429j)  (-0.001973+0.001369j)  (-0.017459-0.049301j)  (-0.074616+0.042446j)  (0.016756+0.007373j)  (-0.010667+0.037815j)  (0.072440-0.039709j)  (0.050896+0.038494j)  (0.053079+0.039575j)  (-0.022463+0.040012j)  (0.001693+0.049596j)  (-0.011209-0.034766j)  (-0.029583+0.001957j)  (-0.021513-0.024078j)  (-0.017379-0.003988j)  (-0.050826+0.009737j)  (-0.036209+0.000210j)
 (0.014366-0.004537j)  (0.059817-0.119062j)  (0.007481+0.012606j)  (-0.012756+0.011061j)  (-0.012622-0.001042j)  (0.011425+0.003462j)  (-0.009105-0.002824j)  (-0.015980+0.006877j)  (-0.013373-0.016203j)  (0.033329-0.064919j)  (-0.017605+0.061130j)  (0.013825+0.002815j)  (0.016825+0.006171j)  (-0.007655-0.005869j)  (-0.003047-0.032567j)  (-0.967835-0.017533j)  (-0.011460+0.006221j)  (-0.010856-0.000957j)  (0.006500+0.000892j)  (-0.020389+0.005630j)  (-0.003294-0.016694j)  (0.017795-0.008613j)  (0.004869-0.000905j)  (-0.002601+0.002230j)  (-0.035426-0.095705j)  (-0.023205+0.090032j)  (0.000789+0.006241j)  (-0.035822+0.084541j)  (0.003916-0.009289j)  (0.003956-0.026996j)  (0.012633+0.010323j)  (-0.046207-0.006581j)
 (0.014481-0.000082j)  (0.005453+0.010070j)  (0.007594-0.003652j)  (-0.006503-0.015194j)  (0.009553+0.038069j)  (0.010139-0.002722j)  (-0.025849-0.101283j)  (0.001312-0.036233j)  (-0.002425-0.001893j)  (0.010224+0.011284j)  (0.015882-0.017489j)  (0.013847+0.009748j)  (0.016682+0.036540j)  (0.008685+0.017312j)  (0.005152+0.000277j)  (-0.000490+0.009478j)  (-0.976530+0.006360j)  (0.033271+0.059382j)  (-0.011990+0.004865j)  (0.020201-0.007531j)  (0.039940-0.081523j)  (-0.029178-0.002783j)  (0.001672-0.002185j)  (-0.023670-0.001272j)  (0.012510+0.030049j)  (0.048433+0.016027j)  (-0.006546+0.011440j)  (0.002822-0.060819j)  (0.035689+0.034222j)  (-0.005763+0.005162j)  (-0.037241+0.033586j)  (0.026001-0.020170j)
 (-0.002849-0.001800j)  (-0.017281+0.022497j)  (-0.036723-0.103980j)  (0.007339+0.000428j)  (0.009127-0.081699j)  (0.021815+0.001434j)  (-0.007545-0.000342j)  (0.008444-0.005295j)  (-0.001370-0.022933j)  (0.043949+0.099467j)  (-0.011285+0.004066j)  (-0.041140+0.030557j)  (-0.003444+0.005719j)  (0.008632-0.010038j)  (0.030035-0.054397j)  (0.002010+0.004897j)  (-0.025699+0.053339j)  (-0.971469+0.036106j)  (-0.009704-0.001871j)  (-0.013914+0.004465j)  (-0.028386-0.074846j)  (0.001496-0.024695j)  (-0.032606+0.007730j)  (0.015335+0.019215j)  (0.005103+0.013600j)  (0.005536-0.000061j)  (0.035571+0.005720j)  (0.003588-0.011969j)  (0.017321-0.010177j)  (-0.021868-0.001819j)  (-0.001075-0.002671j)  (-0.004235+0.010893j)
 (-0.020135+0.009580j)  (0.021557+0.108349j)  (0.008925+0.066197j)  (-0.000446-0.010535j)  (0.023931+0.020704j)  (-0.004691-0.000322j)  (0.036294+0.043620j)  (0.018455+0.004190j)  (-0.012935+0.006000j)  (0.009717+0.015821j)  (-0.002700-0.023577j)  (-0.001941-0.011723j)  (-0.005274-0.006219j)  (-0.004636-0.001650j)  (0.067514+0.038638j)  (-0.018418+0.012383j)  (0.008091+0.007182j)  (0.004993+0.002848j)  (-0.977317+0.013085j)  (0.000216-0.020736j)  (0.005152-0.012282j)  (-0.032140+0.001537j)  (0.004741+0.035753j)  (-0.003473-0.005207j)  (-0.018250-0.019299j)  (-0.009609-0.017805j)  (0.035708+0.062129j)  (0.010731+0.029776j)  (-0.030528+0.009876j)  (0.004316-0.049706j)  (0.017234+0.012658j)  (0.001463-0.023538j)
 (0.001665+0.002488j)  (-0.009329-0.033372j)  (-0.021764+0.019230j)  (-0.014040-0.113547j)  (0.000708+0.025709j)  (-0.005126-0.051377j)  (-0.031266-0.116673j)  (0.010721-0.091305j)  (0.016976-0.000194j)  (0.001208+0.036374j)  (0.010743+0.007320j)  (0.009174-0.042405j)  (-0.028023+0.000502j)  (-0.014567+0.000995j)  (-0.016711+0.001819j)  (0.003407+0.006352j)  (-0.003063-0.005859j)  (0.005020-0.001385j)  (-0.012606-0.025264j)  (-0.962027+0.020887j)  (-0.030615+0.046884j)  (-0.029427+0.020280j)  (0.026337-0.063523j)  (-0.007821-0.025952j)  (0.002655+0.018012j)  (-0.002059-0.088390j)  (-0.006833-0.043297j)  (0.018492-0.007776j)  (-0.008737+0.063797j)  (0.001452+0.028935j)  (-0.004738+0.003566j)  (0.034321-0.011932j)
 (0.014868-0.010852j)  (-0.009313-0.004143j)  (-0.019989+0.043078j)  (0.028236+0.151284j)  (0.018840-0.000219j)  (-0.004660-0.028961j)  (-0.008226-0.016297j)  (-0.005737+0.011961j)  (-0.015037+0.024133j)  (0.008176+0.028356j)  (-0.000306-0.099938j)  (0.002275+0.008017j)  (0.002788+0.015597j)  (-0.019583-0.001077j)  (0.012794+0.066345j)  (-0.006843-0.008937j)  (-0.043156-0.088954j)  (0.020611-0.067678j)  (-0.006856-0.012812j)  (0.015455+0.032884j)  (-0.950198-0.050160j)  (0.033136+0.105325j)  (-0.036931+0.016430j)  (-0.007885+0.025040j)  (0.006250-0.002826j)  (-0.040921-0.018823j)  (-0.009232-0.079247j)  (0.008592-0.019403j)  (0.013044-0.042545j)  (-0.027773-0.015948j)  (-0.015173-0.072776j)  (-0.025072-0.023614j)
