 (-0.998692-0.001909j)  (-0.000150+0.000502j)  (0.001788-0.001453j)  (-0.000391-0.000929j)  (-0.000432-0.003138j)  (0.000029+0.002837j)  (-0.002261-0.001580j)  (0.000364+0.002790j)  (-0.001331-0.000676j)  (0.006052-0.001921j)  (-0.002798+0.003209j)  (-0.000115-0.000932j)  (-0.000077-0.000396j)  (-0.002762+0.000426j)  (-0.000107-0.003878j)  (0.001803-0.002491j)  (-0.001321-0.001752j)  (-0.000002-0.000811j)  (0.000605+0.002126j)  (0.001552-0.002531j)  (-0.000543-0.000440j)  (0.001805+0.002077j)  (-0.000420-0.000386j)  (-0.002233+0.001307j)  (0.000856-0.000661j)  (0.000382+0.001201j)  (0.001961-0.000794j)  (-0.000657+0.001622j)  (-0.001923-0.047882j)  (0.000603+0.011478j)  (0.001090+0.000948j)  (0.000591-0.000868j)
 (0.000743+0.001382j)  (-0.965401-0.000297j)  (0.003884-0.002797j)  (0.003730-0.001398j)  (-0.029708-0.005200j)  (-0.000570+0.001361j)  (0.001706-0.007436j)  (0.004524-0.001228j)  (0.000570-0.001503j)  (-0.000244-0.003038j)  (-0.021257+0.006186j)  (0.001141+0.002937j)  (-0.002075-0.010859j)  (-0.007001-0.127851j)  (-0.045519-0.213151j)  (-0.013229-0.005410j)  (0.000220-0.002070j)  (-0.000935-0.000735j)  (-0.000187-0.003201j)  (-0.020506-0.002319j)  (0.001681-0.000281j)  (0.001839+0.003620j)  (-0.003476+0.001461j)  (0.033545-0.012992j)  (0.001027-0.000929j)  (0.000993-0.001305j)  (0.007079-0.004529j)  (0.002004-0.001221j)  (0.018528+0.003494j)  (0.002275-0.002378j)  (0.001657+0.002302j)  (-0.001979+0.000538j)
 (-0.002047-0.001616j)  (-0.002479-0.003261j)  (-0.990102-0.004331j)  (-0.001166-0.001161j)  (-0.010412-0.014205j)  (0.040147-0.106114j)  (0.004838-0.002748j)  (0.037946+0.007525j)  (-0.001685-0.007905j)  (-0.002540-0.001437j)  (-0.001873-0.002111j)  (-0.016530-0.001337j)  (-0.034804+0.036309j)  (-0.003397-0.006809j)  (-0.001868-0.000793j)  (-0.001528+0.006661j)  (0.014470-0.003190j)  (-0.027784-0.006519j)  (-0.006051-0.019387j)  (0.001543-0.015376j)  (-0.001591+0.002148j)  (-0.001776-0.000695j)  (0.000354-0.003395j)  (0.002299-0.001488j)  (-0.001325+0.000527j)  (-0.000920+0.000892j)  (-0.003172+0.002222j)  (0.005455-0.006596j)  (0.002680+0.002140j)  (0.004310+0.009891j)  (0.001017-0.001021j)  (0.002941+0.001324j)
 (0.000406-0.001052j)  (0.001234-0.002033j)  (0.000716-0.001320j)  (-0.993145-0.002742j)  (-0.002544-0.000332j)  (-0.000418+0.002694j)  (0.009795-0.003239j)  (-0.000878+0.000779j)  (0.000891-0.000189j)  (0.001559+0.000848j)  (0.009290+0.014305j)  (0.002382+0.004240j)  (-0.000242-0.000858j)  (0.000623-0.025360j)  (-0.004539-0.007112j)  (-0.000528-0.002070j)  (-0.001520-0.002279j)  (-0.002050+0.001489j)  (-0.001110+0.000120j)  (0.001633+0.004254j)  (-0.003340+0.000439j)  (-0.000138+0.000674j)  (-0.001381+0.001838j)  (-0.001611-0.000279j)  (-0.001309-0.002167j)  (0.001302-0.000291j)  (0.001019-0.004999j)  (-0.000155+0.002807j)  (-0.001398+0.002229j)  (-0.002491-0.000616j)  (-0.000463-0.009959j)  (-0.019059-0.109143j)
 (0.000074-0.003604j)  (0.011908-0.000905j)  (0.010436-0.013895j)  (-0.000981+0.001316j)  (-0.984897+0.004506j)  (-0.003630+0.004425j)  (0.000605-0.000449j)  (0.001789-0.004228j)  (0.003374-0.002674j)  (-0.000577+0.001975j)  (0.003059+0.000371j)  (0.002129+0.001009j)  (-0.003162+0.004336j)  (0.054308+0.133545j)  (-0.007209+0.004011j)  (0.012599-0.002123j)  (0.000006+0.000014j)  (0.003877+0.001942j)  (0.023782-0.086138j)  (-0.000367-0.002582j)  (-0.000536-0.001142j)  (-0.002816+0.000393j)  (0.001913+0.001212j)  (0.001924-0.004208j)  (0.002218+0.001973j)  (-0.000898+0.000916j)  (-0.005449+0.008218j)  (-0.000400-0.001951j)  (0.002600+0.001327j)  (0.013604-0.002054j)  (0.001026-0.001199j)  (0.001519+0.000598j)
 (-0.000470+0.002479j)  (0.000956-0.000916j)  (-0.040577-0.119111j)  (0.000925+0.002086j)  (0.005780+0.002752j)  (-0.935201-0.006751j)  (-0.026449-0.041867j)  (0.028400-0.221747j)  (-0.004076+0.007037j)  (-0.003078+0.001216j)  (0.001422-0.000052j)  (-0.000623+0.089559j)  (0.035717-0.011854j)  (-0.003254-0.004401j)  (-0.001818+0.002711j)  (0.034568+0.006082j)  (0.003004-0.127461j)  (0.017801+0.168184j)  (-0.002145+0.000853j)  (-0.001643+0.001169j)  (0.000376+0.003279j)  (0.002164+0.002119j)  (-0.001690+0.001615j)  (-0.001407+0.004945j)  (-0.000576+0.002111j)  (0.014432+0.000701j)  (-0.011371+0.016245j)  (-0.024129+0.004874j)  (-0.001346-0.001082j)  (0.005213-0.008979j)  (-0.000347-0.000625j)  (-0.000274+0.001342j)
 (0.001051-0.001111j)  (-0.000273-0.005282j)  (0.002707-0.001267j)  (-0.011085-0.003436j)  (-0.001020+0.000321j)  (0.022250-0.047737j)  (-0.964032+0.004364j)  (0.006901+0.015261j)  (0.001782-0.002397j)  (0.000658-0.000319j)  (-0.015765+0.000587j)  (0.001527+0.001664j)  (-0.017159+0.004402j)  (-0.017153-0.004876j)  (0.007826-0.000965j)  (-0.000476+0.001049j)  (-0.001518+0.012292j)  (0.033212-0.004432j)  (-0.002722+0.000971j)  (0.012494-0.001701j)  (-0.001758-0.002491j)  (-0.002927+0.001646j)  (0.001437+0.003388j)  (0.047472+0.031203j)  (-0.029608+0.077542j)  (-0.001000-0.003096j)  (0.010083+0.168755j)  (0.091990-0.111639j)  (0.000912-0.002128j)  (-0.018237-0.064847j)  (0.024364-0.013587j)  (-0.000889+0.001617j)
 (-0.001495+0.002230j)  (-0.004099-0.000488j)  (-0.013115-0.000500j)  (0.000053+0.000965j)  (-0.002119-0.002189j)  (-0.026394-0.225209j)  (0.000824+0.010453j)  (-0.957108-0.028006j)  (0.016966-0.005007j)  (-0.000149-0.000299j)  (0.001881-0.002346j)  (-0.033819+0.009893j)  (-0.078009-0.072600j)  (-0.008407+0.008142j)  (0.004591-0.003434j)  (-0.002749-0.099792j)  (-0.012273+0.057391j)  (-0.055377+0.030065j)  (0.001519-0.001821j)  (0.011242+0.007207j)  (0.003171-0.001893j)  (0.000242-0.001707j)  (0.004169+0.001036j)  (-0.001585+0.002561j)  (-0.000699-0.004305j)  (-0.011024-0.004328j)  (0.001169-0.015575j)  (-0.004681-0.001674j)  (-0.001904+0.008309j)  (-0.000913-0.014553j)  (-0.002202+0.000396j)  (0.001598+0.002976j)
 (0.000943-0.000412j)  (-0.000136-0.001735j)  (-0.001162-0.000652j)  (-0.000742-0.000394j)  (-0.000812-0.001149j)  (0.003640+0.001083j)  (0.000218-0.001694j)  (-0.004167-0.000076j)  (-0.991049-0.000860j)  (0.000907-0.000003j)  (0.001040-0.000201j)  (-0.000479-0.002031j)  (-0.051758-0.108445j)  (0.005261+0.008145j)  (-0.001086-0.002743j)  (-0.000384-0.002406j)  (-0.000158+0.001334j)  (-0.000288+0.002088j)  (0.023386-0.016414j)  (0.016804+0.020983j)  (0.004102-0.000201j)  (-0.005586-0.005367j)  (-0.001492-0.001608j)  (-0.000683-0.000309j)  (-0.001596+0.000073j)  (-0.000957-0.001038j)  (0.002149-0.000259j)  (-0.001581+0.002395j)  (-0.001465+0.001937j)  (-0.032302-0.022828j)  (-0.001008-0.000207j)  (-0.002675+0.000399j)
 (0.001619-0.001268j)  (-0.002373+0.000226j)  (0.002820-0.000584j)  (-0.001021+0.000333j)  (0.000380+0.001986j)  (0.002656+0.002213j)  (0.002050-0.001147j)  (-0.002398+0.000933j)  (-0.002305-0.000733j)  (-0.974224-0.001179j)  (0.074130+0.055742j)  (-0.006252-0.003715j)  (0.016108-0.008982j)  (0.000047+0.000174j)  (0.021849-0.004929j)  (0.000552+0.001089j)  (0.001163+0.002096j)  (-0.000353-0.001080j)  (0.000725+0.003400j)  (0.069780-0.115917j)  (-0.000896-0.000449j)  (0.012171+0.002397j)  (-0.000231-0.001042j)  (0.002798+0.000864j)  (-0.012061+0.011045j)  (0.002096+0.000892j)  (0.001014+0.002796j)  (0.008149+0.001640j)  (0.013611-0.149298j)  (-0.000463-0.001863j)  (-0.000907-0.002641j)  (0.002317+0.001271j)
 (0.003173+0.002882j)  (0.019188-0.001092j)  (0.001683-0.002571j)  (-0.008760+0.014635j)  (-0.000853+0.000384j)  (-0.000318+0.000472j)  (0.009087-0.000698j)  (-0.001682-0.002417j)  (-0.001020+0.000360j)  (-0.073439+0.053147j)  (-0.991250-0.004286j)  (-0.001454+0.001571j)  (0.002354-0.004612j)  (0.001999+0.009301j)  (-0.031806+0.013245j)  (0.000058-0.003208j)  (0.002667+0.000940j)  (0.000152+0.001168j)  (0.000738-0.002464j)  (-0.010291-0.017528j)  (0.000084-0.010373j)  (-0.004654-0.004712j)  (-0.000511-0.001384j)  (-0.001379+0.000728j)  (0.025550-0.072342j)  (0.001358+0.001149j)  (0.005145+0.000781j)  (-0.003984-0.001129j)  (-0.006545-0.019569j)  (-0.001699-0.001946j)  (0.004061+0.007882j)  (-0.000485-0.007425j)
