 (-0.948860+0.019521j)  (-0.004473+0.013020j)  (-0.048454+0.006108j)  (-0.011351+0.008372j)  (0.015418+0.001952j)  (0.062754-0.254748j)  (-0.108870-0.040583j)  (-0.025494+0.055197j)  (-0.001432-0.003084j)  (-0.000607+0.000893j)  (0.004463-0.002918j)  (-0.034840-0.008342j)  (-0.001380+0.001032j)  (-0.011041+0.003513j)  (0.003694-0.007616j)  (-0.000183-0.001097j)  (-0.008543+0.003707j)  (-0.072746-0.011012j)  (0.001477+0.001031j)  (0.001304-0.001144j)  (-0.006335-0.009181j)  (0.002609-0.001296j)  (0.002762+0.001464j)  (-0.000712-0.000473j)  (-0.030993+0.034108j)  (0.001002-0.001803j)  (-0.002319+0.003409j)  (0.003922-0.013418j)  (-0.000083+0.006456j)  (0.000126-0.003049j)  (-0.008342+0.024175j)  (0.002707-0.000495j)
 (-0.002213+0.005435j)  (-0.956626+0.010562j)  (0.002940+0.004680j)  (0.046832+0.007526j)  (0.020530+0.000192j)  (-0.030716+0.005257j)  (0.001752+0.011655j)  (-0.000309-0.002944j)  (-0.003693-0.003370j)  (0.007440+0.003079j)  (-0.066310-0.007254j)  (-0.006380+0.004789j)  (-0.003246-0.012553j)  (-0.031843-0.120799j)  (-0.017573+0.205343j)  (0.005505-0.002063j)  (-0.013919-0.119496j)  (0.001389+0.006759j)  (0.004312+0.006309j)  (0.037030+0.014527j)  (-0.000463-0.001688j)  (-0.001081-0.000106j)  (-0.016532+0.006004j)  (-0.020862+0.001202j)  (0.005182+0.002224j)  (0.001659-0.001050j)  (-0.000141+0.001106j)  (0.000470-0.000639j)  (-0.003422+0.002599j)  (0.026404+0.017623j)  (0.003894+0.004330j)  (0.001771-0.000271j)
 (0.012358-0.009408j)  (0.002086+0.002418j)  (-0.989803+0.021690j)  (0.018144-0.014977j)  (-0.002590+0.000176j)  (-0.065113+0.091159j)  (0.018486+0.030742j)  (0.009122+0.012396j)  (-0.000662+0.001243j)  (0.000586+0.000614j)  (-0.001563+0.011522j)  (0.012135+0.003742j)  (0.006435+0.003458j)  (0.004609-0.003702j)  (-0.008576+0.003390j)  (0.000886+0.000832j)  (0.000483-0.000644j)  (0.034333+0.003548j)  (0.005485+0.002051j)  (-0.000757+0.001438j)  (-0.007544-0.000745j)  (-0.000377+0.000465j)  (-0.003636-0.000624j)  (-0.000436+0.000517j)  (0.018124-0.049146j)  (-0.001155-0.000902j)  (0.000133+0.000192j)  (0.000900+0.006209j)  (0.000965-0.000295j)  (0.000799+0.001514j)  (0.016027-0.004779j)  (-0.009519-0.000939j)
 (0.008973+0.006964j)  (-0.009677+0.007459j)  (-0.017122-0.015607j)  (-0.969909+0.023265j)  (0.003379-0.003130j)  (-0.049296+0.009803j)  (0.012263-0.092291j)  (0.031698+0.012035j)  (0.000955-0.000571j)  (-0.000224-0.000320j)  (0.000368+0.001404j)  (-0.005219+0.008834j)  (-0.036763-0.132330j)  (0.001186-0.019524j)  (-0.009295+0.150667j)  (0.000955-0.001104j)  (-0.000883+0.004837j)  (-0.001826+0.010343j)  (0.000551-0.002661j)  (0.017485-0.004241j)  (-0.003408+0.007032j)  (-0.000561-0.000430j)  (0.028809+0.001017j)  (-0.014867+0.000579j)  (-0.027935-0.007962j)  (0.002537-0.000429j)  (-0.000102+0.000364j)  (-0.001563-0.002196j)  (0.001215+0.001563j)  (0.019401+0.004820j)  (-0.022886-0.004342j)  (-0.000480+0.005353j)
 (-0.005764-0.001039j)  (-0.008522+0.005229j)  (0.001587+0.000147j)  (-0.002038-0.001813j)  (-0.976578+0.023962j)  (0.013184-0.006506j)  (-0.026526+0.016294j)  (0.025562+0.083565j)  (0.001327-0.002417j)  (-0.003917+0.002001j)  (-0.017923-0.006453j)  (-0.007899+0.001482j)  (0.001426-0.001407j)  (0.005148-0.099031j)  (-0.005594-0.000930j)  (0.005094-0.000514j)  (-0.003107-0.002156j)  (-0.010470-0.003908j)  (-0.040680-0.150314j)  (0.009456-0.020263j)  (-0.034673+0.002885j)  (-0.002857-0.000069j)  (-0.010621+0.002750j)  (-0.001083-0.000718j)  (0.004407+0.010235j)  (0.000511+0.000936j)  (0.000688-0.000757j)  (0.001654-0.001611j)  (-0.002992+0.000112j)  (-0.000533-0.001793j)  (0.005047+0.002243j)  (0.000742+0.000044j)
 (-0.093048-0.283513j)  (0.029006+0.006104j)  (0.076687+0.090946j)  (0.014191+0.001613j)  (-0.004663-0.004207j)  (-0.885471+0.063189j)  (-0.051177+0.209523j)  (-0.039748+0.063081j)  (-0.001286+0.007275j)  (0.001116-0.003970j)  (0.002787-0.003232j)  (0.015913+0.064156j)  (0.005068+0.002446j)  (0.005755+0.013065j)  (-0.008634-0.008600j)  (0.005726+0.007335j)  (-0.000201+0.005431j)  (0.090945+0.157851j)  (0.000138+0.006088j)  (-0.005741-0.002366j)  (-0.011480-0.025216j)  (-0.000615-0.001192j)  (-0.000345+0.001949j)  (-0.000923+0.003053j)  (0.086855+0.072601j)  (-0.004390-0.002174j)  (0.003869-0.000204j)  (-0.020741+0.022344j)  (-0.005438+0.001374j)  (0.000917+0.005620j)  (0.037245+0.032689j)  (0.010460-0.011879j)
 (0.036242-0.007159j)  (-0.004109+0.003928j)  (-0.009379+0.005254j)  (-0.013642-0.109762j)  (0.008841+0.002792j)  (0.066005+0.248575j)  (-0.894208-0.034702j)  (0.089918-0.193736j)  (-0.007151-0.000269j)  (-0.002003-0.001832j)  (0.021223+0.000333j)  (0.009906-0.016010j)  (0.021063-0.004942j)  (-0.005671+0.002421j)  (-0.018740-0.007418j)  (-0.002991+0.004633j)  (-0.005103-0.001417j)  (0.024012+0.014567j)  (-0.027002+0.005885j)  (0.002656-0.000573j)  (0.051882+0.030826j)  (0.004156+0.000657j)  (-0.005059+0.004362j)  (0.000581-0.002433j)  (-0.016129+0.204759j)  (0.000684-0.004317j)  (-0.001588-0.000979j)  (-0.008318+0.008606j)  (-0.002363-0.002462j)  (0.002418+0.052006j)  (0.011051+0.141772j)  (0.034219+0.004332j)
 (0.018286+0.081394j)  (0.000787+0.000365j)  (-0.007987+0.005524j)  (-0.009007+0.000735j)  (-0.026015+0.095420j)  (-0.021695+0.096323j)  (-0.054298-0.189594j)  (-0.948135+0.009261j)  (-0.000545+0.000720j)  (0.000353+0.000051j)  (0.001969+0.004962j)  (0.002578-0.019390j)  (-0.002672-0.009360j)  (0.010531-0.010973j)  (-0.008448+0.000681j)  (-0.000192+0.001037j)  (0.000212-0.000795j)  (0.016788-0.019759j)  (-0.006820+0.002414j)  (0.003425+0.001604j)  (0.054609-0.162035j)  (-0.000233+0.000029j)  (-0.000788+0.001459j)  (-0.001882-0.004491j)  (-0.043884+0.024804j)  (0.002513+0.000331j)  (-0.002219+0.001403j)  (0.004001+0.003320j)  (-0.000666+0.000850j)  (0.017995+0.013930j)  (-0.024518+0.028620j)  (0.004529+0.006080j)
 (-0.000572-0.002183j)  (0.003058+0.000220j)  (0.000552+0.000273j)  (-0.001504+0.000051j)  (-0.001277-0.001409j)  (0.001924+0.005593j)  (0.007383-0.000911j)  (0.000173+0.002522j)  (-0.996502+0.022489j)  (0.001941+0.000070j)  (-0.012072-0.076880j)  (0.000461+0.000290j)  (0.001376-0.000490j)  (-0.005917+0.006637j)  (0.000225-0.004778j)  (-0.000732-0.000074j)  (0.000690+0.002102j)  (0.001442-0.000083j)  (0.000730-0.001888j)  (-0.001568-0.002355j)  (-0.000126+0.000079j)  (-0.004032-0.007280j)  (0.001552+0.000284j)  (0.000909+0.000289j)  (-0.005695-0.006305j)  (0.000943-0.000406j)  (-0.000166-0.000347j)  (-0.001062-0.000013j)  (-0.000641+0.001624j)  (0.004957-0.000171j)  (-0.000266-0.001052j)  (-0.000694+0.000051j)
 (0.000994+0.000261j)  (-0.006271+0.005860j)  (-0.000402+0.000041j)  (0.000034-0.000317j)  (0.001196+0.001655j)  (-0.004355-0.003047j)  (-0.000631+0.003162j)  (-0.000260+0.001321j)  (-0.001450+0.000418j)  (-0.988956+0.022908j)  (0.004071-0.008032j)  (0.001632-0.002294j)  (-0.012082+0.004094j)  (-0.019158+0.004918j)  (-0.001605+0.000258j)  (-0.000831-0.001805j)  (-0.000320+0.000141j)  (0.000771-0.001158j)  (0.001036+0.000452j)  (0.000877+0.099091j)  (0.002321-0.000565j)  (-0.015649+0.000036j)  (-0.001718-0.001219j)  (-0.000244-0.000161j)  (-0.018483-0.007122j)  (0.001682-0.000744j)  (0.000352+0.002331j)  (-0.000329-0.000371j)  (0.018772-0.099026j)  (0.002926+0.002920j)  (0.002190-0.002564j)  (-0.001375+0.000421j)
 (-0.002114-0.004850j)  (0.044110-0.000829j)  (-0.001962+0.010435j)  (-0.007124-0.000363j)  (0.007490+0.000295j)  (0.005714+0.005915j)  (-0.008682+0.007392j)  (-0.000291+0.002603j)  (0.009808-0.077948j)  (-0.003760-0.008573j)  (-0.982307+0.009535j)  (0.007853-0.003925j)  (0.001664+0.001222j)  (0.069091+0.115789j)  (-0.000188-0.021495j)  (-0.002541+0.006312j)  (0.007925+0.003672j)  (0.002783-0.001992j)  (-0.006072-0.004245j)  (-0.030726+0.012019j)  (-0.000928+0.000749j)  (0.015886+0.005937j)  (0.015458-0.006606j)  (0.001369+0.001000j)  (-0.041274+0.060814j)  (-0.001174+0.000710j)  (0.000442-0.000913j)  (0.001384-0.000414j)  (0.005400-0.003394j)  (0.001999-0.003176j)  (-0.005853-0.010688j)  (0.011551+0.001912j)
