 (-0.942702-0.002785j)  (-0.013133-0.020687j)  (-0.012097-0.012219j)  (-0.020811+0.019161j)  (-0.004239-0.023191j)  (0.012875+0.051136j)  (0.086242+0.116136j)  (0.013991-0.013734j)  (-0.043195+0.014395j)  (0.013027-0.008507j)  (-0.008582+0.005989j)  (0.053568+0.007008j)  (-0.023319+0.048627j)  (-0.009589+0.000890j)  (-0.020001-0.014879j)  (0.039030+0.037931j)  (0.012215-0.025418j)  (-0.000372+0.008480j)  (0.001460-0.017677j)  (0.011316-0.003211j)  (-0.035135-0.013270j)  (-0.016206-0.013198j)  (0.004825+0.004410j)  (-0.004656+0.000211j)  (0.014190-0.021930j)  (0.008072+0.009617j)  (-0.094024-0.014709j)  (-0.011972+0.000244j)  (0.010746+0.001221j)  (-0.003500+0.005759j)  (0.004151+0.007950j)  (-0.001941-0.010523j)  (-0.009211+0.011464j)  (-0.013995+0.007594j)  (0.004001+0.021975j)  (-0.000286-0.062814j)  (-0.011219+0.022180j)  (-0.003569+0.083108j)  (0.006915-0.001793j)  (0.012074-0.052727j)  (-0.006546+0.009453j)  (-0.006013-0.003656j)  (-0.037405+0.017340j)  (0.006670-0.003153j)  (0.000968-0.008540j)  (-0.044621-0.083117j)  (0.011779+0.000200j)  (0.023558-0.015380j)  (0.026597+0.013151j)  (0.008853-0.015713j)  (0.005137+0.000091j)  (-0.018510+0.008268j)  (0.018793-0.018554j)  (-0.005701+0.066788j)  (-0.083857-0.086021j)  (0.002532+0.024487j)  (0.000298-0.040318j)  (-0.014469+0.015548j)  (-0.020966-0.005237j)  (0.033169-0.033265j)  (0.032578+0.041749j)  (0.009829+0.004939j)  (-0.009182-0.002188j)  (0.000115+0.050005j)
 (0.014342-0.019439j)  (-0.930391-0.000456j)  (0.051026+0.001884j)  (0.012019-0.030881j)  (0.011486-0.011647j)  (0.018340-0.018648j)  (-0.028523+0.017166j)  (0.108367-0.108144j)  (0.013033+0.003630j)  (0.021840-0.010776j)  (-0.016716-0.017900j)  (-0.029008+0.018683j)  (-0.001746+0.009814j)  (0.025342-0.003714j)  (-0.001769+0.021408j)  (-0.009277+0.018299j)  (0.001880-0.004670j)  (-0.020447-0.007401j)  (0.004550-0.005627j)  (-0.004808-0.009081j)  (0.000315+0.002066j)  (-0.009120+0.029918j)  (-0.029432+0.002558j)  (-0.000979+0.003076j)  (0.009579+0.012242j)  (0.010806-0.103935j)  (0.008804+0.004124j)  (0.000981+0.007847j)  (0.008253+0.001507j)  (-0.023437-0.008018j)  (-0.003005-0.021189j)  (-0.001233+0.085024j)  (0.000544-0.007104j)  (0.017359+0.093309j)  (0.008629-0.021182j)  (0.005442+0.013541j)  (0.038656-0.025302j)  (-0.022067+0.010790j)  (0.013541+0.018405j)  (0.023858-0.008992j)  (-0.035283-0.088245j)  (0.018612-0.002140j)  (-0.006459-0.001977j)  (-0.018095-0.019114j)  (0.024725+0.002473j)  (-0.024081-0.065850j)  (-0.016096+0.050488j)  (-0.025998+0.008724j)  (-0.001812-0.064281j)  (0.021886-0.012948j)  (0.027009+0.028232j)  (0.003311-0.003410j)  (0.018303-0.032317j)  (-0.005020+0.137573j)  (0.056287+0.098189j)  (-0.000744+0.020514j)  (-0.011212-0.006517j)  (0.005702-0.009696j)  (-0.021503+0.004166j)  (-0.007978+0.008104j)  (0.008711+0.002943j)  (-0.000166-0.010850j)  (-0.007105-0.009686j)  (0.036366+0.052758j)
 (0.018322-0.020391j)  (-0.034652+0.012960j)  (-0.975995+0.010590j)  (0.001850+0.004439j)  (0.029410+0.004988j)  (0.011010-0.016600j)  (-0.005309-0.010697j)  (0.022839-0.051955j)  (0.003807+0.014253j)  (0.017286-0.000589j)  (0.005210+0.007665j)  (-0.028812+0.019142j)  (-0.007311+0.013369j)  (0.013277+0.013378j)  (0.006776-0.010850j)  (-0.003278+0.002498j)  (0.029289+0.048302j)  (0.001118-0.001640j)  (0.007003+0.002244j)  (0.000968+0.000788j)  (-0.012773+0.017169j)  (-0.002696+0.011829j)  (0.004188+0.013498j)  (0.000482+0.004339j)  (0.004906+0.035299j)  (0.001115+0.006854j)  (-0.005978-0.002265j)  (0.002658+0.005183j)  (0.015521+0.003196j)  (-0.015377-0.015433j)  (0.007301-0.003085j)  (-0.014097+0.014022j)  (0.014828-0.005785j)  (-0.007666+0.016145j)  (0.026087-0.022340j)  (0.002244+0.002688j)  (0.009004+0.001514j)  (-0.014472+0.007583j)  (0.004258+0.007045j)  (0.003909-0.104757j)  (0.005107-0.014105j)  (0.003717+0.001451j)  (-0.009978+0.000791j)  (0.018360-0.083487j)  (0.001355-0.001183j)  (-0.001427-0.000076j)  (-0.029335-0.014230j)  (-0.014192+0.001798j)  (-0.000559-0.012277j)  (-0.009098+0.008485j)  (-0.014403+0.006067j)  (0.000649-0.001796j)  (-0.014415+0.001311j)  (0.003363+0.005920j)  (-0.063765+0.012755j)  (-0.006436+0.030407j)  (0.001235+0.005227j)  (-0.037972-0.009231j)  (0.017590-0.009745j)  (-0.001413+0.016474j)  (0.001215-0.016158j)  (-0.003555-0.001895j)  (-0.013483-0.015356j)  (-0.002284-0.016635j)
 (0.012071+0.008439j)  (-0.001872-0.017494j)  (0.002838+0.008099j)  (-0.958529+0.023691j)  (-0.001605-0.006284j)  (-0.031704-0.006434j)  (-0.025707-0.002472j)  (0.021103-0.022898j)  (0.001550+0.025473j)  (0.012329+0.006375j)  (-0.028240+0.097333j)  (-0.023855-0.016614j)  (0.037989+0.005619j)  (-0.003100+0.026328j)  (0.001406-0.002373j)  (0.012138-0.000964j)  (0.006661-0.005381j)  (-0.001351-0.003743j)  (-0.006235-0.008674j)  (0.013386+0.000930j)  (-0.023272-0.008526j)  (0.001564+0.005554j)  (0.005912-0.000260j)  (-0.023476-0.010052j)  (0.001833-0.003828j)  (0.015562-0.009634j)  (0.019147-0.040501j)  (-0.017965-0.005434j)  (0.005114+0.104174j)  (-0.007053-0.019031j)  (0.007411-0.006624j)  (-0.005434+0.000915j)  (0.004381+0.002787j)  (-0.015868+0.001981j)  (0.007632+0.013693j)  (-0.009890+0.005487j)  (-0.005841+0.008654j)  (-0.010933-0.002250j)  (0.015733-0.070151j)  (-0.002055+0.015456j)  (0.017147-0.002077j)  (-0.014270-0.006986j)  (0.010058+0.055086j)  (-0.000010+0.033354j)  (0.003479+0.007384j)  (-0.001045-0.003373j)  (0.000177-0.051412j)  (-0.008305-0.001712j)  (-0.025023-0.087171j)  (-0.001978+0.017776j)  (-0.034051-0.084867j)  (-0.004248-0.014681j)  (-0.009880+0.004784j)  (-0.011836-0.005688j)  (-0.028318+0.086970j)  (-0.008743-0.006146j)  (-0.001439+0.004438j)  (0.007026+0.000242j)  (-0.016241-0.000382j)  (0.007542-0.007359j)  (-0.002003+0.002934j)  (0.013785-0.051924j)  (0.000193-0.062680j)  (0.010143+0.002644j)
 (0.008012-0.017712j)  (-0.015986-0.006277j)  (-0.030448+0.003856j)  (-0.006710-0.005292j)  (-0.949409+0.010337j)  (0.014097+0.006063j)  (-0.006342-0.009637j)  (-0.004632-0.010168j)  (-0.002893-0.000451j)  (-0.021704+0.003518j)  (0.000881-0.011549j)  (0.015895+0.073750j)  (0.000018+0.002658j)  (-0.010549-0.121749j)  (-0.004553-0.010491j)  (0.006134+0.018471j)  (0.033179-0.009576j)  (0.000754-0.022968j)  (-0.002063+0.056392j)  (-0.020437+0.095556j)  (0.010669-0.121156j)  (-0.000512-0.015720j)  (-0.006519-0.000486j)  (0.010059-0.006487j)  (-0.012525-0.012002j)  (0.022560-0.005677j)  (-0.004846+0.006167j)  (-0.011147-0.000262j)  (-0.002985+0.003311j)  (-0.013948+0.000457j)  (0.012774-0.015917j)  (-0.008621-0.003443j)  (-0.009899+0.004637j)  (-0.001374+0.026369j)  (-0.006588-0.000393j)  (0.001464+0.006638j)  (-0.023925+0.077543j)  (0.004398-0.078590j)  (0.008048+0.005014j)  (-0.009905-0.013964j)  (0.012507+0.061034j)  (-0.011832-0.008908j)  (0.023631-0.003042j)  (-0.020108-0.002974j)  (0.014578-0.012323j)  (0.009427-0.018113j)  (-0.021490+0.001658j)  (-0.027986-0.045586j)  (0.008384+0.001563j)  (0.041676-0.077772j)  (-0.041842+0.028806j)  (0.018838-0.006139j)  (0.004183-0.012095j)  (-0.012688+0.004272j)  (-0.011202-0.009876j)  (0.011678-0.005074j)  (0.006491+0.006284j)  (-0.001666-0.019120j)  (-0.001406+0.002084j)  (-0.030043-0.066001j)  (-0.017114+0.019692j)  (-0.008603+0.028456j)  (0.004960-0.010028j)  (0.029202-0.008018j)
 (-0.002856+0.057520j)  (-0.011124-0.016216j)  (-0.010916-0.012900j)  (0.029088-0.008810j)  (-0.005205+0.005557j)  (-0.966332+0.001295j)  (-0.004204+0.018057j)  (0.006625-0.004590j)  (-0.014913-0.001791j)  (-0.009020-0.019455j)  (-0.013790-0.051519j)  (-0.011494+0.008422j)  (0.053717-0.014440j)  (0.026919-0.014706j)  (-0.011472+0.002178j)  (-0.005709+0.006474j)  (0.004246+0.003194j)  (0.010224+0.014947j)  (0.000137+0.005514j)  (0.011125-0.001042j)  (-0.026772-0.068098j)  (0.002257-0.007807j)  (-0.005631+0.001575j)  (0.010976+0.001988j)  (-0.028119+0.021035j)  (0.012663-0.009898j)  (-0.030379-0.008367j)  (-0.005020+0.010921j)  (0.001797-0.018380j)  (-0.001547-0.008253j)  (0.017164+0.099806j)  (0.010880+0.011883j)  (0.000549+0.000487j)  (0.007154+0.000598j)  (-0.002699+0.004202j)  (-0.007085+0.002573j)  (0.000758-0.003756j)  (-0.001109+0.001506j)  (-0.005799-0.001098j)  (-0.005811-0.009006j)  (-0.019808+0.004206j)  (-0.008596-0.003939j)  (-0.005220-0.023160j)  (0.011316-0.012323j)  (0.030391-0.001033j)  (-0.003489-0.065321j)  (0.010832+0.001101j)  (-0.007361+0.057656j)  (-0.019752+0.015632j)  (-0.027035+0.021342j)  (-0.012055+0.013495j)  (-0.017629-0.062043j)  (-0.001941-0.077967j)  (-0.024210-0.058278j)  (-0.007863+0.022478j)  (-0.013449+0.015948j)  (-0.009859-0.010762j)  (0.001467-0.011044j)  (-0.004438+0.011560j)  (-0.011800-0.020636j)  (0.013288+0.016677j)  (0.000456+0.005486j)  (-0.006864-0.012866j)  (0.022315+0.056789j)
 (-0.091559+0.120909j)  (0.005717+0.004594j)  (0.000535-0.018212j)  (0.013603+0.001253j)  (0.012387+0.000515j)  (0.011770+0.020736j)  (-0.936253+0.017426j)  (-0.006585-0.002010j)  (0.014745-0.051765j)  (0.015590-0.005405j)  (0.003510+0.003465j)  (0.008909-0.007588j)  (0.021775-0.000478j)  (-0.007265-0.101535j)  (-0.007994-0.023299j)  (-0.003781+0.013700j)  (-0.006687-0.001205j)  (-0.010427+0.026442j)  (-0.002662+0.000425j)  (-0.000235-0.003152j)  (0.009163-0.048142j)  (0.019023+0.015106j)  (0.001633-0.008838j)  (0.053465-0.085039j)  (-0.000521-0.003363j)  (-0.007833-0.003277j)  (0.008000-0.067193j)  (0.005851-0.057196j)  (-0.025117+0.007485j)  (0.002991-0.008750j)  (0.003102-0.019783j)  (-0.003645-0.001990j)  (-0.020859-0.085099j)  (-0.002438-0.015933j)  (-0.022195-0.015704j)  (-0.039667-0.038180j)  (-0.009245-0.062727j)  (0.057092+0.031292j)  (-0.000520-0.019941j)  (-0.034158-0.026516j)  (-0.005423+0.004890j)  (0.006823+0.011744j)  (0.034932-0.092584j)  (0.003184-0.020113j)  (-0.015179+0.014565j)  (-0.026954+0.075379j)  (-0.022331+0.009491j)  (0.013063+0.005930j)  (0.012032+0.021093j)  (-0.008467+0.053420j)  (-0.002331-0.008298j)  (0.002728-0.016241j)  (-0.005270+0.009310j)  (-0.020313-0.004835j)  (-0.024682-0.014077j)  (-0.000271+0.009111j)  (-0.005518+0.004147j)  (0.019006-0.002031j)  (-0.009836+0.060631j)  (0.006055-0.009457j)  (-0.033433+0.005090j)  (-0.031518+0.049510j)  (-0.008503+0.011088j)  (-0.009320-0.076201j)
 (0.006123-0.005162j)  (-0.113317-0.073282j)  (-0.022467-0.030107j)  (-0.015721-0.010493j)  (0.010808-0.003011j)  (-0.007347-0.004290j)  (-0.002539+0.000689j)  (-0.947022+0.072969j)  (-0.040443-0.026274j)  (0.007259+0.001982j)  (-0.000232-0.003795j)  (-0.034303+0.005572j)  (-0.003210+0.011011j)  (0.003975+0.007946j)  (-0.001697-0.074626j)  (-0.048187-0.085019j)  (0.007803+0.009060j)  (-0.002292+0.002603j)  (-0.020303-0.028163j)  (0.014106-0.003596j)  (0.004969+0.008252j)  (0.001092+0.011767j)  (-0.021972-0.011035j)  (0.013336+0.009041j)  (-0.002214+0.000135j)  (0.022993-0.014080j)  (0.003023+0.005003j)  (-0.016149+0.000307j)  (-0.009556+0.006111j)  (0.013103+0.030201j)  (0.008641+0.001915j)  (0.000590+0.011447j)  (0.004554+0.009835j)  (-0.025654+0.026031j)  (-0.004169+0.020266j)  (0.010876+0.007007j)  (0.016965+0.025135j)  (0.007898-0.003556j)  (0.079343-0.024750j)  (0.014388-0.006289j)  (0.004451-0.017597j)  (0.001158+0.012658j)  (0.007405+0.012746j)  (0.045028+0.085953j)  (-0.009061-0.005975j)  (0.026432-0.016931j)  (-0.014545-0.005431j)  (-0.007170-0.006495j)  (0.030369-0.017737j)  (0.046634-0.021277j)  (-0.004463-0.003232j)  (-0.006713+0.002891j)  (-0.000448-0.019391j)  (-0.098656+0.060111j)  (-0.066112-0.066539j)  (-0.015871-0.001358j)  (-0.013372-0.030189j)  (-0.014953+0.000589j)  (-0.017196+0.006220j)  (0.017400-0.002921j)  (0.007535-0.047024j)  (-0.003088+0.013423j)  (0.008655-0.008584j)  (0.009572+0.019530j)
 (0.019280+0.005615j)  (-0.013666+0.009041j)  (-0.005753+0.008743j)  (0.012705+0.016473j)  (0.004049-0.004450j)  (0.008937-0.004007j)  (-0.010211-0.060957j)  (0.022035-0.027392j)  (-0.966068-0.019919j)  (0.000074-0.003232j)  (0.032121+0.106763j)  (-0.007067+0.003666j)  (0.001010+0.000413j)  (0.000924+0.016394j)  (0.014116+0.016178j)  (0.016859-0.000824j)  (-0.007062-0.007048j)  (0.012502+0.004758j)  (-0.007403-0.013281j)  (0.001553-0.007939j)  (0.015321-0.015070j)  (-0.005918-0.003780j)  (0.015545+0.000770j)  (0.011355-0.000648j)  (-0.013696-0.000981j)  (0.011349-0.000649j)  (0.004366+0.008948j)  (-0.011414+0.005264j)  (0.007559-0.004151j)  (-0.009680-0.013658j)  (0.009775+0.003895j)  (0.011151-0.011404j)  (0.010859-0.033595j)  (-0.001653+0.000615j)  (-0.013459+0.045688j)  (-0.002855-0.003930j)  (0.008864-0.004998j)  (-0.006808-0.014814j)  (0.001928+0.013048j)  (-0.009730+0.041616j)  (0.007188+0.032000j)  (0.015698-0.001369j)  (0.021833-0.015934j)  (-0.008768-0.009350j)  (0.005759-0.065073j)  (0.016834+0.066546j)  (-0.002422-0.002531j)  (-0.001553+0.000737j)  (-0.003899-0.012075j)  (-0.042707+0.002342j)  (0.014485+0.003371j)  (-0.007340-0.005837j)  (-0.020377+0.038756j)  (-0.003077-0.007047j)  (0.022766+0.079305j)  (-0.009109+0.000514j)  (-0.002404-0.006848j)  (0.007130-0.008994j)  (0.009120-0.042547j)  (-0.000355-0.003554j)  (-0.011083+0.091053j)  (-0.013803+0.062037j)  (-0.024876+0.007462j)  (0.005378+0.010143j)
 (-0.008281+0.005837j)  (-0.012960-0.016150j)  (-0.010965-0.004976j)  (-0.000923+0.008665j)  (-0.001324-0.004591j)  (0.013541-0.021681j)  (-0.009847+0.006363j)  (-0.007122+0.003022j)  (-0.000670-0.003009j)  (-0.963626+0.012832j)  (0.010525+0.040582j)  (0.003759+0.004068j)  (0.014145+0.007520j)  (0.032074-0.000214j)  (-0.005102+0.017802j)  (0.012453+0.008388j)  (-0.014497-0.006807j)  (-0.005654-0.080549j)  (0.047720-0.074994j)  (0.017941-0.011209j)  (0.003814-0.004076j)  (-0.006394-0.007705j)  (0.038195-0.016285j)  (0.009428-0.085639j)  (-0.005032+0.082548j)  (-0.005813+0.005537j)  (0.040615-0.040987j)  (-0.005691-0.003609j)  (0.007074+0.005906j)  (0.011638+0.003189j)  (-0.016071-0.011394j)  (0.012037+0.004161j)  (0.008529+0.006663j)  (0.026984+0.030608j)  (-0.025073-0.000865j)  (-0.004568+0.005863j)  (-0.005108+0.000617j)  (-0.039341+0.063455j)  (0.016116-0.009722j)  (0.003434-0.007726j)  (-0.010171+0.004042j)  (-0.010758-0.001938j)  (-0.024057-0.002029j)  (0.007714+0.006671j)  (-0.004924+0.004441j)  (-0.021969-0.048582j)  (-0.002867-0.017677j)  (0.024516+0.058749j)  (-0.001331+0.007566j)  (-0.000672+0.032648j)  (0.009093+0.006580j)  (0.014991-0.012261j)  (-0.007521-0.007228j)  (-0.000243+0.006542j)  (-0.010122+0.016283j)  (0.001698+0.005061j)  (-0.009299-0.003869j)  (-0.014851-0.003558j)  (-0.016555-0.010653j)  (0.016890+0.083989j)  (-0.017578+0.006564j)  (-0.014568-0.045243j)  (-0.000793+0.018640j)  (-0.024816+0.005465j)
 (0.001742+0.008247j)  (0.006419-0.013192j)  (-0.001990+0.007417j)  (0.027942+0.098330j)  (0.003009-0.023418j)  (0.011027-0.049869j)  (-0.007904-0.001118j)  (-0.000093-0.000012j)  (-0.017888+0.102439j)  (-0.006657+0.045577j)  (-0.949668+0.004593j)  (-0.007981+0.007466j)  (-0.004704-0.007660j)  (-0.064331-0.025565j)  (-0.016605-0.010869j)  (0.004166-0.047992j)  (-0.013050-0.011137j)  (0.019029-0.076896j)  (-0.012729+0.004740j)  (0.001265-0.010722j)  (0.038219+0.014854j)  (-0.005296-0.070506j)  (-0.006703+0.041914j)  (0.015273-0.006997j)  (0.001320+0.013065j)  (-0.002996+0.006821j)  (-0.011142-0.000193j)  (-0.022248-0.076728j)  (0.019611+0.010119j)  (0.013394-0.001122j)  (-0.027191-0.002708j)  (-0.012591+0.005310j)  (-0.008578+0.006336j)  (0.018911-0.022228j)  (0.015552-0.024602j)  (0.011456+0.002949j)  (0.013004-0.001177j)  (-0.013411+0.012291j)  (0.002055+0.000362j)  (0.005793+0.000912j)  (0.013211-0.026719j)  (-0.011204+0.004962j)  (-0.004497+0.005359j)  (0.000537+0.002699j)  (-0.014977-0.080198j)  (0.016662-0.006121j)  (0.001664+0.018528j)  (-0.008403-0.000829j)  (-0.001174+0.000609j)  (0.007640-0.000276j)  (0.019904+0.018825j)  (0.015333-0.011152j)  (-0.014326-0.002728j)  (-0.013971-0.052248j)  (0.015268+0.002723j)  (-0.008002+0.018410j)  (-0.013350-0.005389j)  (0.007032-0.021282j)  (0.017163-0.081534j)  (0.005582+0.010222j)  (-0.006148-0.013282j)  (0.003139+0.103632j)  (-0.039323-0.048554j)  (0.020295-0.021859j)
