 (-0.954170+0.000777j)  (-0.001491+0.004088j)  (0.034109+0.007248j)  (0.001802+0.002424j)  (-0.005072-0.001019j)  (0.068034-0.243495j)  (-0.018749+0.008945j)  (-0.007051+0.135993j)  (0.000043-0.001923j)  (0.001443+0.002419j)  (0.000403-0.002989j)  (-0.031715-0.004010j)  (-0.001277-0.006425j)  (-0.004338+0.001683j)  (-0.004323-0.006501j)  (-0.000946-0.002803j)  (-0.001926+0.001055j)  (-0.051764-0.000888j)  (0.004629+0.000597j)  (-0.000176-0.000562j)  (-0.030935+0.000323j)  (-0.001264-0.002752j)  (0.003050+0.001107j)  (-0.000649-0.001614j)  (0.004877+0.004067j)  (0.001309+0.000689j)  (-0.001005+0.005186j)  (0.003430-0.009236j)  (-0.002697+0.017175j)  (-0.005713+0.003169j)  (0.002667+0.002557j)  (0.001755-0.000782j)
 (-0.000946+0.001839j)  (-0.978001-0.001303j)  (0.001126-0.004015j)  (-0.028219+0.017876j)  (0.024632-0.015984j)  (-0.012631+0.006226j)  (0.013052-0.001484j)  (-0.000278-0.002550j)  (-0.004854-0.001460j)  (-0.006328+0.008694j)  (0.017229-0.006044j)  (0.000077-0.000675j)  (-0.004586-0.004353j)  (0.018307-0.101008j)  (-0.015428-0.117557j)  (0.004757-0.004442j)  (0.048646+0.112050j)  (-0.001316+0.002649j)  (0.004556+0.003479j)  (0.008927-0.012299j)  (0.001227-0.000533j)  (0.000303-0.000380j)  (0.001500-0.000270j)  (0.005119-0.000953j)  (-0.011939+0.001306j)  (-0.001155-0.001322j)  (-0.001783-0.002376j)  (-0.000330-0.001287j)  (0.012156+0.002484j)  (-0.001476-0.000180j)  (0.000430-0.007133j)  (0.019722-0.001797j)
 (-0.011103-0.013974j)  (0.000789-0.002409j)  (-0.990051+0.001346j)  (-0.006604+0.013858j)  (0.002897+0.005496j)  (-0.064696-0.103947j)  (-0.025136+0.008776j)  (-0.018342-0.002427j)  (-0.000681-0.000331j)  (-0.000249-0.001263j)  (-0.004991-0.000540j)  (-0.014134+0.005264j)  (-0.000226+0.000816j)  (-0.000813-0.013743j)  (-0.002086-0.000480j)  (0.001633-0.002076j)  (-0.000522+0.001887j)  (-0.028970+0.006322j)  (0.024379+0.018139j)  (0.000050+0.000590j)  (0.003232-0.009936j)  (0.000103-0.000911j)  (-0.001839-0.000491j)  (0.000215-0.000452j)  (0.004970-0.024979j)  (-0.000063-0.001054j)  (0.000787+0.004860j)  (-0.000057-0.005272j)  (-0.001552-0.000540j)  (0.003933+0.004112j)  (0.001299+0.005927j)  (0.000747+0.002154j)
 (-0.002720+0.001590j)  (0.008429+0.001676j)  (0.008158+0.012702j)  (-0.945301-0.000493j)  (0.008247-0.004165j)  (-0.040286+0.006132j)  (-0.098526-0.231177j)  (-0.028864+0.023997j)  (0.000266+0.000513j)  (-0.001070+0.003827j)  (0.012155+0.003010j)  (-0.001670+0.005340j)  (0.003588-0.015649j)  (-0.010739+0.020654j)  (-0.072833+0.157888j)  (-0.003350+0.000076j)  (0.002389+0.002891j)  (0.000417+0.007638j)  (-0.000458-0.000633j)  (0.001064-0.004249j)  (-0.007376-0.008985j)  (-0.002038-0.002361j)  (0.000165-0.000680j)  (-0.003415-0.002459j)  (-0.067199+0.023775j)  (0.002493-0.001300j)  (-0.033008+0.010031j)  (0.000394-0.000465j)  (-0.003803-0.001359j)  (-0.032716+0.013006j)  (-0.022819+0.014381j)  (-0.000255-0.004827j)
 (0.000881-0.000204j)  (-0.018435-0.030313j)  (-0.003638-0.000618j)  (-0.008167-0.001958j)  (-0.972047+0.011388j)  (-0.003367+0.001563j)  (-0.002669+0.001495j)  (-0.010648-0.023739j)  (-0.000484-0.001117j)  (-0.002900+0.007704j)  (-0.005250-0.010429j)  (0.001749+0.001537j)  (-0.002722+0.011591j)  (-0.118412-0.092690j)  (0.002113+0.008272j)  (-0.005380-0.013271j)  (-0.010080+0.000046j)  (0.002019-0.001837j)  (0.025799-0.164971j)  (-0.023224-0.016805j)  (0.006160-0.005055j)  (0.002821+0.010294j)  (0.001487-0.000973j)  (-0.002461-0.000355j)  (-0.002547+0.009550j)  (0.000314+0.000003j)  (0.000076-0.000653j)  (-0.002151+0.002970j)  (0.011693-0.006578j)  (-0.002084-0.001125j)  (0.000337-0.002363j)  (0.014150-0.014315j)
 (-0.067544-0.244041j)  (0.011358+0.004542j)  (0.061331-0.110335j)  (0.016157-0.005720j)  (0.001216-0.000757j)  (-0.930873+0.060656j)  (0.015998+0.102521j)  (-0.045705+0.084444j)  (0.000294+0.003088j)  (0.005755-0.004848j)  (-0.002326+0.001763j)  (0.013739+0.073724j)  (0.000187-0.001019j)  (-0.001097+0.002986j)  (-0.005082+0.004690j)  (0.000232+0.001017j)  (0.012161-0.000273j)  (-0.010081+0.143293j)  (0.002217-0.003972j)  (-0.001427+0.001595j)  (-0.022422-0.018762j)  (-0.002172+0.000857j)  (-0.000931+0.002586j)  (-0.000554+0.004276j)  (0.015684-0.008259j)  (-0.000495+0.000161j)  (0.013342-0.001402j)  (-0.026733-0.000621j)  (-0.007367-0.003921j)  (0.019972-0.001422j)  (0.012820-0.000183j)  (-0.003523-0.000936j)
 (0.005903+0.004937j)  (-0.013994-0.002738j)  (0.004459+0.002051j)  (0.099528-0.244446j)  (-0.001695+0.002490j)  (-0.005747+0.095128j)  (-0.927807+0.006858j)  (0.057217+0.079904j)  (-0.000961+0.002461j)  (0.008802+0.004192j)  (0.022082-0.007966j)  (0.008190-0.003557j)  (0.000018-0.001146j)  (0.013873+0.004398j)  (-0.041179-0.046049j)  (0.000529+0.003986j)  (0.001704-0.004705j)  (0.013382-0.001436j)  (-0.009274-0.000709j)  (0.002393+0.001944j)  (-0.019338+0.013461j)  (-0.002262-0.000205j)  (-0.002630-0.000476j)  (0.001888-0.000755j)  (0.004135+0.162307j)  (-0.001698-0.001173j)  (-0.009099+0.081886j)  (0.004556+0.004158j)  (-0.006335-0.000573j)  (0.003634+0.084893j)  (-0.030633+0.058075j)  (0.003536+0.001801j)
 (0.000644+0.154745j)  (0.002477-0.002792j)  (0.008330-0.009302j)  (0.013826-0.001770j)  (0.008957-0.025707j)  (0.027168+0.078596j)  (-0.046819+0.087119j)  (-0.960883+0.062965j)  (0.001412-0.000685j)  (-0.001317-0.002191j)  (-0.000860-0.000675j)  (0.012298-0.011404j)  (0.007140-0.024957j)  (-0.000759-0.002836j)  (0.002874-0.000158j)  (0.003212-0.002132j)  (0.005471+0.017818j)  (0.011735-0.032357j)  (-0.001033+0.002231j)  (0.001630-0.005871j)  (-0.046249-0.159043j)  (-0.000129+0.000116j)  (-0.001034+0.010253j)  (-0.000389+0.000387j)  (0.017307-0.014642j)  (0.000023+0.002248j)  (0.002836-0.006017j)  (0.008926+0.004313j)  (0.004728-0.000320j)  (0.005428+0.003623j)  (0.011855+0.001304j)  (-0.002699-0.001212j)
 (-0.000923-0.001464j)  (0.004368-0.001461j)  (0.000291-0.000526j)  (-0.000365+0.000435j)  (0.000259-0.001084j)  (0.000857+0.003142j)  (0.001362+0.002421j)  (-0.001445-0.000289j)  (-0.999645+0.003416j)  (0.001306+0.001207j)  (0.003679+0.007172j)  (-0.000152-0.000584j)  (0.001012+0.000591j)  (0.000293+0.000454j)  (-0.001119+0.002468j)  (-0.001125+0.000103j)  (-0.001744-0.001386j)  (0.000252+0.000115j)  (-0.000765-0.000666j)  (-0.000676+0.000101j)  (0.001657+0.000237j)  (-0.021543-0.008531j)  (-0.002102+0.000606j)  (0.000213+0.000176j)  (0.000690+0.000922j)  (0.000331-0.000134j)  (0.000525+0.000232j)  (-0.001152+0.000636j)  (-0.001748-0.001484j)  (0.001602-0.000612j)  (-0.001917+0.001758j)  (-0.001593+0.000937j)
 (0.001246+0.000704j)  (0.004180+0.012196j)  (0.001004-0.000258j)  (-0.000533+0.001157j)  (0.000116+0.005569j)  (-0.006378-0.003932j)  (-0.005878-0.003226j)  (0.000894+0.001397j)  (-0.000325+0.001121j)  (-0.983029+0.006978j)  (0.023060+0.095427j)  (0.000870+0.000868j)  (0.014931-0.001401j)  (-0.003959-0.006220j)  (0.001553+0.001033j)  (-0.000660+0.000086j)  (-0.003266-0.000678j)  (-0.000116+0.000293j)  (-0.000043+0.001636j)  (-0.016203+0.091285j)  (0.002267+0.000481j)  (-0.008695-0.002665j)  (-0.000536+0.003977j)  (0.000440+0.000274j)  (0.065433+0.018291j)  (-0.000343-0.000193j)  (-0.002930-0.002831j)  (0.008970+0.000817j)  (-0.018102+0.096852j)  (-0.004756+0.001320j)  (-0.011660+0.008579j)  (0.000215-0.002259j)
 (-0.000541-0.002126j)  (-0.012912-0.003162j)  (0.002949-0.000039j)  (-0.007398-0.002844j)  (0.001575-0.005116j)  (0.000882+0.004081j)  (-0.011675-0.005361j)  (-0.000006+0.001445j)  (-0.003560+0.007399j)  (-0.024138+0.095040j)  (-0.990507-0.008323j)  (0.000496-0.000011j)  (-0.003805-0.008856j)  (0.042889-0.007523j)  (-0.003473-0.003256j)  (0.005801+0.002849j)  (0.003737-0.000563j)  (0.001515+0.001305j)  (-0.003651-0.001144j)  (0.044382-0.006475j)  (-0.000675-0.000367j)  (-0.003929-0.007117j)  (0.000816+0.000677j)  (0.000044+0.000068j)  (-0.019866+0.058726j)  (-0.000360-0.000429j)  (0.001197-0.005031j)  (-0.003546-0.005265j)  (0.015504+0.012191j)  (-0.009066+0.001715j)  (-0.006481-0.001797j)  (0.003238+0.008452j)
