 (-0.002592-0.001697j)  (0.001207-0.003065j)  (-0.011604+0.001518j)  (-0.004014+0.001920j)  (-0.000770-0.000728j)  (0.028913+0.124535j)  (0.004412-0.035232j)  (-0.006069+0.014810j)  (0.000323-0.000949j)  (-0.000557+0.001116j)  (0.001785-0.000438j)  (-0.989346-0.009058j)  (0.003711+0.005488j)  (0.012012+0.010004j)  (0.001063+0.001117j)  (-0.000100-0.003832j)  (0.026292+0.002883j)  (-0.036001-0.004213j)  (-0.003969-0.001139j)  (0.000566+0.001279j)  (0.000029+0.000229j)  (0.001278-0.002053j)  (-0.000100+0.000445j)  (0.000902-0.000731j)  (-0.007577-0.005358j)  (-0.000998+0.000530j)  (0.012494+0.011228j)  (-0.002832-0.014117j)  (0.000969-0.000605j)  (0.008906+0.004838j)  (-0.005138-0.000497j)  (0.002078-0.003075j)
 (-0.000254-0.000772j)  (-0.005153+0.002525j)  (-0.085781-0.141909j)  (0.004171-0.001596j)  (-0.000962-0.000753j)  (0.016077-0.011824j)  (0.009835-0.011736j)  (0.000228-0.003022j)  (-0.005177+0.066735j)  (0.000526+0.000823j)  (-0.000323-0.001018j)  (-0.004155+0.003278j)  (-0.972850-0.038146j)  (0.035413-0.085795j)  (0.001969+0.003228j)  (-0.004565+0.003772j)  (0.001170+0.002583j)  (0.003749+0.000732j)  (-0.005523+0.098037j)  (0.001915-0.006217j)  (0.001150-0.001757j)  (-0.001760-0.001053j)  (0.003727+0.005039j)  (-0.000492+0.000545j)  (-0.004653-0.011345j)  (0.000319-0.000651j)  (0.018896+0.001726j)  (0.001623-0.003592j)  (-0.000477-0.001237j)  (-0.016707+0.012265j)  (0.001002-0.001879j)  (-0.003908+0.002619j)
 (0.000014+0.000647j)  (-0.003259-0.116525j)  (-0.002310-0.010032j)  (0.030033+0.085953j)  (-0.009662-0.003713j)  (0.001085+0.006414j)  (0.003373+0.003058j)  (0.002057-0.001725j)  (-0.000184+0.002472j)  (-0.000167+0.005313j)  (-0.038958+0.052049j)  (-0.012379+0.005435j)  (-0.030814-0.088089j)  (-0.957060+0.004696j)  (0.000369-0.033746j)  (0.043841+0.029384j)  (-0.009202-0.009619j)  (0.002062+0.006099j)  (-0.008212-0.000560j)  (0.010874+0.002760j)  (0.002719+0.000476j)  (-0.010681-0.000682j)  (-0.004870-0.000995j)  (-0.001673+0.002440j)  (-0.093542+0.113647j)  (-0.002359+0.000956j)  (0.050189-0.136133j)  (0.002399+0.005168j)  (-0.000509+0.002612j)  (0.018766+0.016555j)  (0.010222-0.002200j)  (0.022120+0.014772j)
 (-0.001434-0.002125j)  (-0.094755-0.040730j)  (0.000151-0.000187j)  (-0.143025+0.025623j)  (0.000921-0.000992j)  (-0.014314-0.000702j)  (-0.023597+0.016305j)  (-0.002101+0.006960j)  (0.001077+0.000823j)  (0.001269-0.001339j)  (-0.006488-0.079017j)  (-0.000647+0.000412j)  (-0.000723+0.000883j)  (-0.001730-0.022442j)  (-0.970065+0.020008j)  (-0.006744+0.005936j)  (0.004715+0.017456j)  (-0.003558+0.000197j)  (0.015239+0.018772j)  (-0.018729+0.003482j)  (-0.001561+0.001671j)  (-0.000160-0.001317j)  (0.004507+0.000319j)  (0.000089+0.004527j)  (-0.028964-0.022141j)  (0.002529-0.000885j)  (0.021043+0.000540j)  (-0.001052-0.001739j)  (0.000436+0.000420j)  (0.080967-0.094591j)  (0.013113+0.007413j)  (-0.000631-0.002151j)
 (0.005273-0.010134j)  (-0.000130-0.000076j)  (-0.001300+0.001360j)  (0.000091+0.001527j)  (0.000538-0.000100j)  (0.001987-0.002767j)  (-0.000818+0.002330j)  (-0.024465+0.046903j)  (0.000102+0.001431j)  (-0.000701+0.001195j)  (0.001682-0.000054j)  (0.000860-0.003004j)  (0.000180+0.000511j)  (-0.044812+0.029952j)  (0.007017+0.004924j)  (-0.996804-0.005217j)  (0.010464+0.011113j)  (-0.002380-0.002083j)  (-0.000567-0.000147j)  (-0.002467+0.000889j)  (-0.000937-0.001500j)  (-0.000732-0.000019j)  (0.001782+0.001647j)  (0.004385+0.001854j)  (-0.000923+0.009623j)  (-0.000453+0.001350j)  (0.000118-0.000662j)  (0.001325-0.002439j)  (-0.000646-0.000415j)  (0.003085+0.001991j)  (-0.001011-0.001386j)  (0.001278+0.001077j)
 (-0.015736-0.007433j)  (0.022018-0.118871j)  (-0.010440+0.000892j)  (-0.000567+0.006946j)  (-0.001845-0.002068j)  (0.037783+0.079895j)  (0.013377-0.007979j)  (0.082083+0.178806j)  (0.000196-0.000897j)  (-0.002589+0.003200j)  (0.006423+0.003529j)  (-0.009084-0.001213j)  (-0.002000+0.007127j)  (0.000584+0.002182j)  (-0.000381+0.028889j)  (-0.004221+0.002087j)  (-0.955308-0.034191j)  (-0.011546+0.015883j)  (-0.000452-0.001772j)  (0.006389+0.014340j)  (-0.002505-0.001165j)  (0.005822-0.000407j)  (0.001824-0.000658j)  (-0.001911+0.003785j)  (-0.002493-0.012477j)  (0.001029+0.003739j)  (-0.005003+0.148737j)  (-0.000880+0.001273j)  (-0.000600+0.001047j)  (-0.000090-0.012531j)  (0.000610-0.010370j)  (-0.001149-0.002123j)
 (0.003678+0.002043j)  (-0.001965-0.000362j)  (0.018630-0.005155j)  (0.009378-0.001362j)  (0.025757-0.009803j)  (-0.076257-0.195801j)  (-0.018458+0.060133j)  (0.014047-0.014219j)  (0.000887-0.000522j)  (0.000540-0.002193j)  (0.001472-0.000426j)  (0.006393-0.000502j)  (-0.004641-0.000628j)  (-0.002219+0.000530j)  (0.005292-0.000788j)  (0.002413-0.002980j)  (-0.012551+0.011720j)  (-0.964345+0.010639j)  (0.004802-0.002450j)  (-0.004453-0.000750j)  (-0.002042+0.000707j)  (-0.000244-0.000581j)  (0.001390+0.002380j)  (0.002608+0.001048j)  (0.011741+0.017518j)  (-0.000296-0.000211j)  (-0.005279-0.010420j)  (-0.002962-0.136629j)  (-0.001191-0.000330j)  (-0.010764-0.015298j)  (0.006499+0.005583j)  (0.000881+0.001853j)
 (-0.001105+0.001676j)  (0.000048+0.001140j)  (0.007894-0.018223j)  (-0.000637-0.001901j)  (0.010863-0.005861j)  (-0.000875-0.002762j)  (-0.006338+0.018174j)  (0.001886+0.000789j)  (0.006217-0.001831j)  (-0.000193+0.000941j)  (0.000861-0.000902j)  (0.002382-0.001674j)  (0.004240+0.103659j)  (-0.002086-0.004721j)  (-0.006242+0.006387j)  (0.000224-0.000118j)  (0.000994-0.002191j)  (-0.001004-0.002288j)  (-0.987219+0.015737j)  (0.000391+0.002590j)  (0.000601+0.001737j)  (-0.002772+0.003324j)  (0.003127+0.001079j)  (-0.001173+0.000415j)  (-0.006327-0.000594j)  (-0.000331-0.000286j)  (0.001319-0.009796j)  (0.000886+0.003719j)  (-0.000102-0.000401j)  (-0.033690-0.108326j)  (0.012564-0.006587j)  (0.003122-0.001313j)
 (-0.000652-0.001050j)  (-0.012486-0.048674j)  (0.000837+0.000229j)  (-0.004527+0.003407j)  (0.001293+0.001152j)  (-0.002926-0.003199j)  (-0.003037+0.001787j)  (0.000804+0.000158j)  (0.002900+0.001319j)  (-0.027901-0.155234j)  (0.002750+0.018653j)  (-0.001750+0.001867j)  (-0.001743-0.006714j)  (-0.004330+0.000180j)  (0.021203+0.007257j)  (0.002714+0.001243j)  (-0.002565+0.012028j)  (0.005469-0.001760j)  (-0.001471+0.002176j)  (-0.983690-0.032939j)  (0.000369+0.000686j)  (-0.003375-0.000619j)  (0.003210-0.000960j)  (-0.001647+0.000377j)  (0.005459+0.004571j)  (0.000579+0.002592j)  (-0.002008-0.001376j)  (-0.005011+0.006964j)  (-0.001708+0.049645j)  (-0.004250+0.002114j)  (0.001071-0.000316j)  (0.001001-0.000412j)
 (0.002387-0.000407j)  (-0.001667-0.000807j)  (0.000495+0.000279j)  (0.002093-0.000352j)  (-0.001417+0.000089j)  (0.000720+0.002533j)  (0.002463+0.002716j)  (0.000206+0.001068j)  (-0.001054-0.001067j)  (-0.000730-0.000295j)  (-0.002412+0.001412j)  (0.000178+0.000281j)  (-0.001174-0.001778j)  (-0.002236+0.000001j)  (0.001239+0.001384j)  (0.001146-0.001474j)  (0.003093-0.000996j)  (0.001449+0.000292j)  (-0.000924+0.001767j)  (-0.000233+0.000510j)  (-0.999939-0.005265j)  (-0.000705-0.000522j)  (-0.000328-0.000137j)  (0.000618-0.000605j)  (-0.000476+0.000149j)  (0.000759+0.000445j)  (-0.001217-0.000294j)  (-0.001063+0.001137j)  (0.000100-0.000610j)  (0.000110+0.001550j)  (0.001377-0.000462j)  (-0.000241+0.000978j)
