 (-0.947647+0.001942j)  (-0.040745-0.013713j)  (-0.011534+0.014969j)  (-0.034266+0.010947j)  (0.027726-0.008265j)  (0.025623-0.012308j)  (0.027863+0.014083j)  (0.018181-0.000819j)  (-0.013526+0.000021j)  (-0.017982-0.007448j)  (0.082227-0.121369j)  (-0.022103+0.010364j)  (0.015965-0.007070j)  (-0.008072-0.008908j)  (0.008183-0.079079j)  (-0.009265+0.002124j)  (-0.012784-0.018383j)  (-0.041625-0.076632j)  (-0.015479-0.006550j)  (0.007411+0.000482j)  (-0.003269-0.071661j)  (0.018007+0.077159j)  (0.000884-0.014090j)  (0.005007+0.012602j)  (0.015754-0.000215j)  (0.009829-0.003683j)  (-0.016233-0.086137j)  (-0.000140+0.007664j)  (-0.001977-0.013319j)  (-0.011050+0.001732j)  (0.008122+0.034370j)  (-0.036869-0.075154j)  (0.008056+0.001449j)  (-0.022579+0.079444j)  (-0.023347-0.000781j)  (0.022991+0.004945j)  (-0.007838-0.009385j)  (-0.000525-0.003967j)  (-0.007236+0.016221j)  (-0.010572+0.005935j)  (-0.000193+0.010191j)  (-0.017342+0.001520j)  (-0.012046+0.023027j)  (-0.007690-0.014917j)  (0.000347+0.000342j)  (-0.028844+0.018636j)  (0.015841+0.003427j)  (0.006338-0.004764j)  (0.037438-0.007258j)  (0.017074+0.020737j)  (-0.001105-0.002131j)  (0.001702-0.008456j)  (-0.010750-0.001286j)  (0.010553+0.059192j)  (0.008664+0.016226j)  (-0.002010-0.019601j)  (0.017706-0.000822j)  (-0.000961-0.002646j)  (0.006536-0.010252j)  (-0.016716+0.001653j)  (0.029013-0.051653j)  (0.013218+0.059030j)  (-0.046689-0.023319j)  (-0.015598-0.001452j)
 (0.025429-0.006429j)  (-0.952429-0.001574j)  (-0.070429-0.042638j)  (-0.000865+0.000192j)  (-0.028468-0.005108j)  (0.004669+0.003452j)  (-0.020474+0.008968j)  (-0.047337-0.062571j)  (-0.004344+0.002863j)  (-0.003867+0.011814j)  (0.030001+0.006255j)  (-0.009898-0.002334j)  (0.010934+0.000172j)  (-0.002303-0.014472j)  (0.007043+0.004754j)  (-0.027919+0.003424j)  (0.050904-0.013057j)  (-0.022805-0.033229j)  (-0.002538-0.008733j)  (-0.021273+0.031342j)  (0.017870-0.008309j)  (-0.011956-0.087745j)  (0.011853+0.005200j)  (0.005953+0.019000j)  (-0.020979+0.005824j)  (0.021171+0.000901j)  (-0.024470+0.112545j)  (-0.015084+0.010228j)  (-0.019086+0.000961j)  (-0.002036-0.006980j)  (0.013707-0.005549j)  (0.005875+0.010683j)  (-0.001332+0.006633j)  (-0.008751-0.006208j)  (0.016853+0.000027j)  (-0.094759-0.002051j)  (-0.000500+0.004122j)  (0.022573-0.005290j)  (0.005839-0.001620j)  (0.011299+0.006469j)  (0.015159-0.070026j)  (0.014279+0.012109j)  (-0.003890+0.012903j)  (-0.011344-0.012195j)  (0.012106+0.013335j)  (-0.024257+0.006350j)  (0.001107+0.008812j)  (-0.000335-0.002189j)  (0.008259+0.002381j)  (0.032267+0.053870j)  (-0.017328-0.065207j)  (0.019810-0.011717j)  (0.023951-0.003331j)  (-0.020842+0.027613j)  (-0.018098-0.029048j)  (0.034143-0.088864j)  (-0.011238-0.002823j)  (0.016024+0.001101j)  (0.004673+0.013494j)  (0.028351-0.052135j)  (-0.011790+0.003441j)  (0.013329-0.005426j)  (0.022106+0.015474j)  (0.040999-0.016969j)
 (0.016358+0.005409j)  (0.063255-0.042061j)  (-0.957321-0.015707j)  (0.021340-0.003914j)  (-0.036403-0.009574j)  (0.006333-0.006600j)  (0.010224+0.004934j)  (0.002152-0.024242j)  (0.006896-0.005477j)  (0.014733+0.002622j)  (0.003693+0.017191j)  (0.043358-0.006002j)  (0.021321-0.021923j)  (0.001021+0.008493j)  (0.000429+0.006510j)  (0.047370+0.076857j)  (0.013174-0.007884j)  (-0.013546+0.004819j)  (0.005696-0.000773j)  (-0.012374+0.003396j)  (-0.056578-0.157239j)  (-0.004647-0.007821j)  (0.000774+0.023251j)  (-0.024254+0.003545j)  (0.007366-0.021645j)  (0.012062-0.011304j)  (-0.004878-0.053247j)  (0.011873+0.003490j)  (0.005802-0.007528j)  (0.002674-0.002004j)  (0.024486+0.071315j)  (-0.035481+0.022179j)  (-0.015855-0.013743j)  (0.032790-0.009325j)  (-0.004915+0.016191j)  (-0.006515-0.006135j)  (-0.030577+0.013797j)  (-0.006922+0.001732j)  (0.004670-0.009811j)  (-0.005548+0.015994j)  (0.016603-0.000440j)  (-0.005134-0.022023j)  (-0.010441-0.012128j)  (0.001889+0.017838j)  (-0.008590-0.003803j)  (-0.007292-0.009751j)  (0.003140-0.002665j)  (0.011439-0.003143j)  (-0.007694-0.010906j)  (0.004486-0.078279j)  (-0.005114-0.001468j)  (-0.004487-0.003598j)  (-0.072614-0.017832j)  (0.008244-0.010352j)  (0.003538-0.005620j)  (0.016469+0.006311j)  (0.013190+0.011060j)  (0.004498-0.005262j)  (0.007119+0.002165j)  (0.009316+0.000457j)  (-0.003731+0.003385j)  (-0.008961-0.051249j)  (-0.005186-0.019049j)  (0.014380-0.005781j)
 (0.017775-0.000018j)  (0.007400+0.002715j)  (-0.006928-0.008450j)  (-0.944777+0.031866j)  (-0.002542+0.002834j)  (-0.030362-0.005292j)  (-0.007451-0.004190j)  (-0.003699-0.008903j)  (-0.000538+0.042352j)  (0.018353+0.014028j)  (-0.019467+0.043983j)  (-0.025091-0.008510j)  (0.016213+0.005873j)  (-0.003811+0.015326j)  (-0.020247+0.019298j)  (-0.029444-0.003105j)  (-0.000523-0.001746j)  (-0.013328-0.014933j)  (0.021647+0.032997j)  (-0.000649+0.015123j)  (-0.042565+0.048978j)  (-0.001519-0.000263j)  (-0.054739+0.009994j)  (-0.024262-0.002929j)  (0.000655-0.019442j)  (0.024762-0.077420j)  (0.001383+0.018612j)  (0.003651-0.012371j)  (0.018007-0.006389j)  (0.024002-0.002759j)  (0.006139+0.104766j)  (-0.046610+0.037477j)  (-0.041318+0.034693j)  (-0.003425+0.032905j)  (0.004586+0.014433j)  (0.004244-0.015546j)  (0.030459+0.082042j)  (-0.015008-0.011206j)  (-0.002577-0.009261j)  (-0.009544+0.070700j)  (0.039202-0.000546j)  (-0.006641+0.009560j)  (0.029832+0.069217j)  (-0.012552-0.041267j)  (-0.006123-0.024918j)  (0.024322+0.009067j)  (0.023633+0.061800j)  (-0.014893-0.017124j)  (0.007299-0.029849j)  (0.018533-0.011628j)  (0.012881+0.006980j)  (-0.006232-0.004222j)  (0.000163-0.025258j)  (-0.020278-0.000650j)  (-0.005546+0.003957j)  (0.018981+0.008787j)  (-0.002761+0.001670j)  (-0.009237+0.000990j)  (-0.009429-0.011655j)  (-0.000370+0.025317j)  (-0.024610+0.087301j)  (-0.017118-0.071253j)  (-0.003289-0.046074j)  (0.031150-0.100255j)
 (-0.020736-0.006911j)  (0.019411+0.006045j)  (0.025804-0.003243j)  (-0.002863+0.008208j)  (-0.937671+0.013521j)  (0.031357+0.008868j)  (0.015908+0.011454j)  (0.087559-0.032791j)  (0.018901+0.000720j)  (-0.049158+0.029799j)  (-0.013457+0.017141j)  (-0.008022+0.049661j)  (0.006512+0.009108j)  (-0.021500-0.073407j)  (-0.012303-0.010555j)  (0.015078-0.000759j)  (0.021976+0.023742j)  (-0.014240+0.006531j)  (-0.004966-0.067512j)  (-0.014067-0.010076j)  (-0.006610+0.021983j)  (-0.000215-0.001633j)  (0.023957-0.015883j)  (0.024071-0.006314j)  (-0.035977-0.013089j)  (0.009524+0.025604j)  (0.004285-0.032999j)  (-0.012088-0.004766j)  (0.003359+0.076068j)  (0.012431-0.008624j)  (0.003620-0.096093j)  (0.000725-0.084128j)  (0.017334+0.006444j)  (-0.007813-0.006104j)  (0.009316+0.027266j)  (-0.005299-0.004582j)  (-0.020059+0.012196j)  (-0.028535+0.027523j)  (0.007195-0.000394j)  (-0.052592+0.088834j)  (0.003741-0.003945j)  (0.013844+0.018703j)  (-0.024066+0.021700j)  (-0.012153-0.081202j)  (0.033730+0.056378j)  (0.013589+0.005860j)  (-0.030334-0.007895j)  (-0.034965-0.044505j)  (0.004307-0.003571j)  (-0.008400-0.010852j)  (-0.003695+0.017540j)  (0.010827+0.013566j)  (-0.005080-0.049115j)  (0.001535-0.007067j)  (0.020892-0.016461j)  (-0.005880-0.001136j)  (-0.025044+0.097588j)  (-0.015560-0.008795j)  (0.016281-0.006671j)  (0.024443+0.090693j)  (0.035724-0.003660j)  (-0.009310+0.030205j)  (0.007687+0.016123j)  (-0.017834-0.061614j)
 (-0.007658-0.000093j)  (-0.013558+0.001385j)  (-0.014644-0.002187j)  (0.006040-0.001055j)  (-0.015065+0.005358j)  (-0.951454+0.028566j)  (-0.010442-0.000225j)  (-0.015095+0.006481j)  (-0.000951-0.010825j)  (-0.022054-0.007292j)  (0.022122-0.008146j)  (-0.008882+0.017623j)  (0.031926-0.094199j)  (0.009411-0.007921j)  (0.009059-0.019368j)  (0.000101-0.051544j)  (-0.011073-0.001394j)  (0.004639-0.010194j)  (-0.011851-0.024023j)  (-0.004307+0.000873j)  (0.000430+0.002257j)  (-0.001125+0.002400j)  (0.024903+0.018283j)  (0.025101-0.002211j)  (-0.013380+0.094727j)  (0.021531+0.008722j)  (-0.008311-0.014851j)  (0.004084+0.053926j)  (0.025497+0.075837j)  (-0.001915+0.000582j)  (0.010113-0.012760j)  (0.019276-0.095915j)  (0.009706-0.001268j)  (-0.003248-0.003826j)  (-0.008353-0.007529j)  (0.052321-0.062981j)  (-0.005721-0.001903j)  (-0.002269-0.003214j)  (0.067091+0.003848j)  (0.016229+0.002282j)  (0.009536+0.002918j)  (0.017736+0.000687j)  (-0.005184-0.021703j)  (0.017251-0.009555j)  (0.030821+0.013783j)  (0.004945-0.006413j)  (-0.009313-0.011333j)  (0.026248-0.006696j)  (0.020489+0.019445j)  (-0.008651-0.006432j)  (0.000777-0.005564j)  (0.004331-0.000123j)  (-0.010748-0.051721j)  (-0.000247-0.005348j)  (0.014442+0.084320j)  (-0.021426-0.017079j)  (-0.003497+0.010010j)  (0.023174-0.008342j)  (-0.014435-0.063284j)  (-0.004110-0.001644j)  (0.005381+0.010006j)  (0.000446+0.013298j)  (0.012205-0.064359j)  (-0.036316+0.091225j)
 (-0.010205-0.002036j)  (0.006772+0.003392j)  (-0.012518+0.002319j)  (-0.001569+0.003567j)  (-0.001952+0.013602j)  (0.006366+0.003276j)  (-0.966019-0.007920j)  (0.012708-0.016751j)  (-0.013316+0.004900j)  (-0.010224+0.006708j)  (-0.050046-0.108261j)  (0.005576+0.002863j)  (0.014385-0.002299j)  (-0.002527-0.012010j)  (-0.029494-0.048717j)  (0.011570+0.010445j)  (0.002881+0.004972j)  (0.016497+0.002728j)  (-0.023755+0.001770j)  (-0.006864-0.004526j)  (-0.010855-0.011935j)  (-0.024083+0.053795j)  (-0.004753+0.009000j)  (0.013450+0.003582j)  (0.004790+0.001421j)  (-0.007476+0.011832j)  (0.025315-0.002415j)  (0.020722-0.055155j)  (-0.015116+0.022968j)  (0.007953+0.002678j)  (-0.018809+0.019432j)  (-0.007717-0.002394j)  (0.008786+0.055903j)  (0.021307-0.014043j)  (-0.016699+0.007660j)  (0.018262+0.029508j)  (0.003978-0.009461j)  (-0.009908+0.017271j)  (0.010872-0.007642j)  (0.009200-0.000321j)  (-0.010887+0.003438j)  (-0.048550+0.029114j)  (-0.009658+0.082185j)  (0.001895+0.005166j)  (0.004787+0.042331j)  (-0.011496-0.045205j)  (-0.016298-0.002688j)  (-0.006157+0.005508j)  (-0.014830+0.019579j)  (-0.016163-0.044518j)  (-0.012695-0.007564j)  (0.009448+0.001151j)  (0.029014+0.007923j)  (-0.028225-0.038063j)  (0.010618+0.002533j)  (-0.018101+0.007136j)  (-0.001261-0.008310j)  (0.015786-0.000978j)  (0.012013-0.020219j)  (0.008020+0.019109j)  (0.026625-0.013620j)  (0.026961+0.045649j)  (-0.006661+0.059931j)  (-0.008450-0.009555j)
 (0.004766+0.006455j)  (0.059897-0.084443j)  (0.004453-0.012331j)  (0.005711-0.019153j)  (-0.094838-0.052089j)  (0.018509+0.019313j)  (-0.004471-0.007790j)  (-0.924863+0.004519j)  (-0.007161-0.001884j)  (0.063663-0.001762j)  (0.000342-0.098622j)  (-0.042329+0.028478j)  (0.018697+0.006041j)  (-0.026197+0.003522j)  (-0.006427-0.010085j)  (-0.029925+0.062997j)  (0.043635-0.122472j)  (0.006161+0.006208j)  (0.016403-0.027811j)  (0.003984+0.049140j)  (0.031547-0.017031j)  (0.027830+0.044065j)  (0.000011+0.013523j)  (-0.014775+0.009237j)  (-0.029493+0.112047j)  (0.007814-0.061542j)  (-0.005580+0.007182j)  (0.009718+0.010106j)  (-0.008516+0.001340j)  (-0.007848-0.008276j)  (-0.011510-0.008071j)  (-0.019356-0.004044j)  (0.008930-0.001795j)  (-0.006343+0.001432j)  (-0.007407-0.076101j)  (0.005981+0.131438j)  (0.024710+0.014554j)  (0.012096+0.006929j)  (-0.011666+0.004717j)  (0.013706+0.023948j)  (0.009726+0.004516j)  (0.015864+0.021910j)  (0.018111-0.000873j)  (-0.016436+0.002244j)  (0.002193+0.004600j)  (0.002568-0.009470j)  (0.011691+0.012763j)  (0.027740+0.005400j)  (-0.006861-0.010845j)  (0.013529+0.010823j)  (0.036747+0.033719j)  (-0.014644+0.013792j)  (-0.007329-0.011885j)  (-0.002200+0.081951j)  (-0.001440-0.007911j)  (0.020073-0.038512j)  (0.003027+0.007749j)  (0.000168+0.016047j)  (0.016877+0.025221j)  (0.019414+0.003463j)  (-0.026724+0.072687j)  (0.013423+0.074631j)  (0.016448-0.027577j)  (0.007824+0.018476j)
 (0.015004-0.008464j)  (-0.001344-0.000271j)  (-0.003799+0.000872j)  (0.006865+0.054648j)  (-0.003300+0.011992j)  (0.000272-0.008214j)  (0.009744-0.000024j)  (-0.011787+0.001763j)  (-0.954184-0.020443j)  (-0.010052+0.002493j)  (-0.002442-0.001789j)  (0.031235-0.004378j)  (-0.000512-0.016198j)  (-0.012268+0.002996j)  (-0.014988+0.026823j)  (0.004234+0.003461j)  (0.007248+0.055189j)  (0.010586+0.001746j)  (0.004716-0.018874j)  (-0.031456-0.004354j)  (0.000692+0.009393j)  (0.014629+0.010750j)  (-0.005956+0.002817j)  (0.001826-0.003759j)  (0.029774-0.020138j)  (0.012513+0.009126j)  (-0.005382-0.005128j)  (-0.031557+0.000561j)  (-0.018311+0.011651j)  (-0.008069+0.005029j)  (-0.004571-0.006384j)  (-0.005759-0.012755j)  (-0.018573+0.006285j)  (-0.009787+0.030282j)  (0.006554+0.013286j)  (0.009247+0.001960j)  (0.001357+0.010762j)  (0.010522-0.003707j)  (-0.058579-0.105880j)  (-0.003711+0.001309j)  (-0.005491+0.104215j)  (0.011655-0.002778j)  (-0.013723+0.002715j)  (0.014085+0.012039j)  (0.014595+0.074652j)  (0.003765+0.096775j)  (0.004170+0.003492j)  (-0.014543-0.004892j)  (-0.000703+0.004445j)  (0.000948-0.020868j)  (-0.008643+0.003481j)  (-0.000178+0.018191j)  (0.031386-0.076310j)  (0.012913-0.001386j)  (-0.005111-0.003008j)  (-0.001754-0.072388j)  (-0.018792+0.010544j)  (0.012406+0.065270j)  (0.016292+0.009690j)  (-0.051813+0.046192j)  (-0.015670-0.040211j)  (-0.022832-0.068147j)  (-0.021672-0.000643j)  (-0.004753-0.002049j)
 (0.009008-0.004590j)  (0.002689-0.002566j)  (-0.003078-0.000931j)  (0.006285+0.009804j)  (0.024446+0.013132j)  (0.006528+0.001500j)  (0.007589+0.006438j)  (-0.037704-0.010983j)  (0.003635-0.001364j)  (-0.948770-0.006176j)  (-0.021586-0.003496j)  (0.018053-0.010118j)  (0.013906+0.011511j)  (0.006853+0.010921j)  (0.003341+0.000298j)  (0.053691+0.052083j)  (0.008172-0.020095j)  (0.014618-0.017113j)  (0.012547+0.025340j)  (0.025092+0.013946j)  (0.008619-0.005860j)  (0.005053-0.000247j)  (0.004195+0.011374j)  (0.002833-0.097064j)  (0.000989+0.031148j)  (-0.005196-0.031593j)  (-0.010220+0.007066j)  (-0.003237-0.003559j)  (-0.016268-0.014986j)  (0.016840+0.047429j)  (-0.021557+0.031713j)  (-0.001851+0.012480j)  (-0.008196+0.007356j)  (-0.000334+0.005353j)  (0.006170+0.002979j)  (-0.000862+0.041765j)  (0.015219+0.021846j)  (0.001285+0.002645j)  (-0.024869+0.000634j)  (0.007365+0.006333j)  (0.007055+0.020495j)  (-0.004139+0.007074j)  (-0.004147-0.019099j)  (-0.019523+0.022963j)  (0.024317-0.092114j)  (-0.002931-0.019068j)  (0.004118+0.045975j)  (-0.002780+0.050693j)  (-0.022735+0.006379j)  (0.019901-0.040609j)  (0.044877+0.109878j)  (-0.042951-0.078229j)  (0.025930+0.067327j)  (0.000256-0.001437j)  (-0.007578-0.009374j)  (0.018868-0.099067j)  (0.012684+0.005805j)  (-0.004581+0.002749j)  (-0.008980-0.030261j)  (0.022847-0.004171j)  (0.007800+0.090616j)  (-0.009423-0.025164j)  (0.001982-0.006906j)  (-0.000387-0.024155j)
 (-0.077479-0.112363j)  (-0.023750+0.008885j)  (0.000453+0.012640j)  (0.011691+0.043685j)  (0.006669+0.013394j)  (-0.015733-0.002182j)  (0.061432-0.095763j)  (-0.041471-0.085061j)  (0.005110+0.005305j)  (0.019863+0.005500j)  (-0.923082+0.004369j)  (0.030995+0.002536j)  (0.010133+0.010519j)  (0.002972-0.008851j)  (0.036597-0.023593j)  (0.000282-0.015795j)  (0.013148-0.009041j)  (0.015429-0.002329j)  (-0.022890+0.025042j)  (-0.018899-0.025127j)  (0.018918-0.013176j)  (-0.049504+0.025435j)  (0.010741+0.007064j)  (0.019765+0.009098j)  (-0.005973-0.017000j)  (0.016279+0.009509j)  (0.023719-0.030052j)  (0.022920-0.001225j)  (-0.025255+0.068775j)  (-0.012617-0.010575j)  (-0.039102+0.136296j)  (0.020545+0.002544j)  (-0.030723+0.009980j)  (-0.030107-0.055306j)  (0.037937+0.078919j)  (-0.052632-0.060460j)  (0.005379-0.038438j)  (-0.011035-0.088380j)  (0.071023-0.027944j)  (0.011445-0.002680j)  (-0.005551+0.009458j)  (-0.021135+0.016666j)  (0.004908-0.069500j)  (0.003203-0.007064j)  (0.013050+0.032543j)  (0.002555+0.012346j)  (0.005458-0.008543j)  (-0.000353+0.000531j)  (-0.011073+0.004458j)  (0.008420+0.032714j)  (-0.021382-0.014961j)  (-0.004895-0.004093j)  (0.013070+0.080599j)  (0.013099-0.053232j)  (-0.000817-0.008630j)  (0.017008-0.020835j)  (-0.006190+0.004546j)  (0.002612-0.007879j)  (0.001488-0.046278j)  (-0.017147+0.011255j)  (0.015431-0.053038j)  (-0.033818+0.023421j)  (-0.029119+0.042570j)  (-0.008798+0.000549j)
