 (-0.005513+0.001771j)  (-0.009213+0.028804j)  (0.001653+0.003431j)  (0.033842+0.062486j)  (-0.011229-0.008205j)  (0.006889-0.016653j)  (0.000908+0.005528j)  (-0.054471-0.137889j)  (-0.012195+0.000043j)  (0.012528+0.056380j)  (-0.008872+0.016730j)  (-0.954059+0.003142j)  (0.004186+0.014315j)  (-0.006105+0.074858j)  (-0.008267+0.010657j)  (0.007683-0.008185j)  (0.038179+0.048270j)  (0.005548+0.001588j)  (0.012664-0.026232j)  (0.003871+0.017705j)  (0.047676-0.135419j)  (0.011564-0.056873j)  (0.005091+0.011618j)  (-0.062540-0.121889j)  (0.001090+0.010689j)  (0.005047+0.003633j)  (0.019671-0.005412j)  (-0.004507-0.033142j)  (0.012541-0.006177j)  (0.009144+0.029771j)  (-0.012673+0.001192j)  (-0.011147+0.012548j)
 (-0.001738-0.001730j)  (-0.000583-0.010400j)  (0.003882-0.015928j)  (0.009889+0.006026j)  (0.001700-0.002304j)  (0.002741+0.001655j)  (0.007252-0.121395j)  (-0.013231-0.005161j)  (-0.000111+0.010727j)  (0.103192+0.045412j)  (0.004541+0.001519j)  (-0.001227+0.009684j)  (-0.950360+0.166316j)  (-0.005591+0.007843j)  (-0.004652-0.020145j)  (-0.013163-0.005878j)  (0.014378-0.015537j)  (0.015795+0.014102j)  (-0.027983+0.097658j)  (0.010845-0.029711j)  (0.025127+0.026245j)  (0.002111+0.002498j)  (-0.015288-0.000371j)  (0.012415+0.010708j)  (0.000467-0.001688j)  (-0.003547-0.012356j)  (0.006898-0.038988j)  (-0.004528-0.023566j)  (-0.010162-0.013600j)  (0.004167+0.008194j)  (-0.006133-0.003900j)  (0.011205+0.151800j)
 (0.012461+0.002690j)  (-0.005654-0.004005j)  (-0.004143+0.012723j)  (-0.040177-0.096138j)  (-0.013931-0.000343j)  (0.006667-0.008126j)  (-0.000938-0.000350j)  (-0.000235+0.003019j)  (-0.006174+0.009190j)  (0.000663+0.002772j)  (-0.024230+0.094325j)  (0.019838+0.068564j)  (0.005660+0.001450j)  (-0.950826+0.039931j)  (0.019748+0.016200j)  (0.002048+0.004482j)  (0.027017+0.108342j)  (-0.010371+0.007054j)  (0.027601-0.009565j)  (0.031494-0.021816j)  (-0.012308-0.019685j)  (-0.017832-0.017918j)  (0.019001-0.009684j)  (-0.013259-0.029806j)  (0.034356-0.019410j)  (0.018083-0.010997j)  (-0.121266-0.138514j)  (-0.010465+0.000115j)  (0.006600+0.006884j)  (-0.001471+0.115168j)  (0.010010-0.011977j)  (-0.000847-0.010156j)
 (-0.017576+0.013447j)  (0.003151+0.001921j)  (0.009637+0.002039j)  (-0.011207-0.099652j)  (-0.004651-0.011981j)  (-0.003914-0.027417j)  (0.005647+0.006615j)  (0.008411+0.016131j)  (0.004462-0.026209j)  (0.003710-0.006308j)  (0.001332-0.002115j)  (0.003553-0.007378j)  (-0.003271-0.003863j)  (-0.013749+0.003662j)  (-0.972859+0.029201j)  (0.018416-0.008699j)  (-0.000242+0.007087j)  (0.021172+0.016225j)  (-0.150918-0.055524j)  (-0.017059-0.011577j)  (-0.032937-0.012887j)  (0.017267-0.017353j)  (0.014040-0.018181j)  (-0.061271-0.006037j)  (0.020509+0.005731j)  (0.002508+0.007552j)  (-0.041925+0.043056j)  (-0.000058+0.008871j)  (-0.011448-0.019333j)  (-0.001257-0.020288j)  (0.021332-0.019991j)  (-0.003324+0.004031j)
 (-0.002384-0.020313j)  (-0.000368-0.007389j)  (-0.007038+0.002363j)  (-0.011853-0.013741j)  (0.011011-0.017944j)  (0.010615-0.015013j)  (-0.004573-0.013536j)  (0.004114+0.003401j)  (-0.026328-0.142864j)  (-0.006536-0.012654j)  (0.000672-0.006516j)  (-0.009618-0.000659j)  (0.004059-0.002864j)  (0.011546+0.002155j)  (-0.005941-0.002316j)  (-0.960156+0.092259j)  (-0.065319+0.103166j)  (0.012186-0.010226j)  (-0.028442-0.056249j)  (-0.002132-0.001747j)  (-0.006564+0.000740j)  (-0.008383-0.000815j)  (-0.018522-0.038921j)  (0.011225+0.000717j)  (-0.056700-0.126869j)  (0.022199+0.025259j)  (-0.010769-0.004617j)  (-0.018584-0.015425j)  (-0.006086-0.014624j)  (0.044631+0.007042j)  (0.033569-0.001045j)  (-0.015695-0.000371j)
 (0.014235+0.003472j)  (0.007871-0.007314j)  (0.004337+0.012915j)  (0.021688-0.007780j)  (-0.043944-0.114378j)  (0.014186-0.008885j)  (0.008117+0.006304j)  (0.014725-0.038129j)  (-0.007365-0.005083j)  (-0.012406+0.015659j)  (0.013103-0.024587j)  (-0.028777+0.051089j)  (-0.005663-0.011746j)  (-0.036477+0.118099j)  (0.005377-0.004255j)  (0.055917+0.097498j)  (-0.939826-0.069503j)  (-0.013291+0.000153j)  (-0.050722+0.099264j)  (-0.013574-0.024807j)  (0.016028-0.010291j)  (0.006113+0.008505j)  (-0.019086-0.000188j)  (-0.019390+0.025076j)  (0.007012+0.086563j)  (-0.079821+0.123965j)  (0.007349+0.010830j)  (0.013862+0.011487j)  (-0.007584-0.002833j)  (0.014232+0.022316j)  (0.058401+0.108312j)  (-0.005214+0.001718j)
 (-0.003800-0.008857j)  (-0.001939+0.007923j)  (0.008442-0.013496j)  (0.005572+0.002719j)  (0.006837+0.004777j)  (0.011802-0.001301j)  (0.012826-0.084169j)  (0.005850+0.003696j)  (0.006322-0.000049j)  (0.012071+0.007611j)  (-0.001455-0.005108j)  (-0.009550-0.002484j)  (-0.006231+0.014239j)  (0.011830+0.002177j)  (-0.021100+0.022349j)  (-0.009456-0.010119j)  (0.007499-0.002487j)  (-0.987954-0.057725j)  (-0.001027-0.021388j)  (0.000987-0.004628j)  (-0.001833-0.009140j)  (-0.022568+0.085614j)  (0.008123-0.004453j)  (-0.001927-0.004421j)  (0.000159-0.000243j)  (0.022306-0.004469j)  (-0.020642+0.001827j)  (-0.010129+0.018402j)  (0.000596-0.003845j)  (0.006329+0.001805j)  (0.024275-0.005443j)  (0.008433-0.007063j)
 (0.038444-0.108152j)  (0.003978-0.006562j)  (-0.017274+0.000462j)  (0.032487+0.133897j)  (-0.033512-0.052698j)  (-0.048108+0.113006j)  (-0.007094-0.054925j)  (0.040504-0.098750j)  (0.031778+0.025426j)  (-0.037672+0.054286j)  (-0.029212+0.044871j)  (0.004598+0.003131j)  (0.064667+0.097580j)  (-0.032263-0.047428j)  (0.125649-0.075334j)  (0.018778-0.064812j)  (0.037515+0.099133j)  (0.003738-0.025864j)  (-0.887916+0.083027j)  (0.034872-0.109552j)  (0.018682+0.030357j)  (-0.003382-0.003251j)  (0.018973-0.108577j)  (-0.009652+0.000436j)  (0.011960-0.012251j)  (0.004237-0.020370j)  (-0.079169+0.169457j)  (0.019443+0.004837j)  (-0.011010-0.025312j)  (-0.033398+0.015102j)  (-0.018648-0.081763j)  (-0.015709+0.051534j)
 (-0.017320-0.006289j)  (0.012797+0.009564j)  (-0.000037-0.016593j)  (-0.000613+0.006674j)  (0.002330-0.011157j)  (0.000038-0.006276j)  (0.021064+0.009815j)  (-0.010417+0.001737j)  (0.031875+0.180484j)  (-0.004416+0.000780j)  (-0.014932+0.004039j)  (-0.004232+0.012874j)  (-0.017867-0.014176j)  (-0.012732-0.014722j)  (0.023171+0.002497j)  (-0.022491-0.002945j)  (0.000341-0.009596j)  (0.000410-0.002909j)  (-0.067047-0.074700j)  (-0.954387+0.139606j)  (0.000212+0.012854j)  (0.008250+0.003859j)  (-0.024346+0.009835j)  (-0.000676-0.004912j)  (-0.000691+0.002102j)  (0.001228-0.012818j)  (-0.084848-0.104897j)  (0.013654-0.000183j)  (0.009039-0.005788j)  (-0.038052-0.018807j)  (-0.009489+0.007059j)  (-0.013043+0.002032j)
 (0.012192+0.001794j)  (0.005176+0.002948j)  (0.014584+0.001464j)  (0.034879+0.093155j)  (0.028144-0.067762j)  (0.011310+0.007794j)  (0.000349-0.002173j)  (-0.025693+0.004014j)  (-0.002130-0.005270j)  (-0.006277-0.025529j)  (-0.003548+0.006598j)  (-0.038518-0.137893j)  (-0.019175+0.013778j)  (-0.009466-0.015306j)  (0.021903-0.012810j)  (0.007711-0.003989j)  (-0.011183+0.003761j)  (0.002589-0.005815j)  (-0.000415+0.034248j)  (-0.003824+0.010558j)  (-0.972497-0.020601j)  (0.009522-0.002818j)  (-0.002280-0.008374j)  (0.008329-0.025473j)  (-0.031927+0.012329j)  (-0.003224+0.015945j)  (-0.003608+0.003103j)  (-0.058690-0.010947j)  (0.004561+0.001648j)  (-0.002134+0.005038j)  (0.013740+0.013105j)  (0.079620+0.015770j)
