 (-0.001225-0.008052j)  (-0.007986-0.052299j)  (0.055083-0.105482j)  (-0.007583+0.010037j)  (0.005457-0.010735j)  (0.005142-0.001736j)  (0.006494+0.082921j)  (-0.018763+0.008253j)  (0.007029+0.007980j)  (-0.048633-0.107939j)  (-0.001510-0.016508j)  (-0.925340+0.016367j)  (0.011618+0.024205j)  (0.027560-0.002128j)  (0.002145+0.016788j)  (0.014441+0.019708j)  (-0.033481-0.006754j)  (0.027872+0.132962j)  (-0.087849+0.078181j)  (-0.099193-0.110111j)  (0.015401-0.021541j)  (-0.048632+0.022009j)  (0.006656+0.014539j)  (-0.009413+0.014401j)  (0.006384+0.116143j)  (0.024159-0.006581j)  (0.061417+0.102149j)  (0.042676-0.026818j)  (0.045130+0.052819j)  (0.006548-0.005196j)  (0.045347+0.039105j)  (-0.031854-0.045726j)
 (-0.005517-0.018575j)  (0.009118+0.002365j)  (0.016586-0.006951j)  (0.001673+0.009205j)  (-0.020944-0.108629j)  (0.019755+0.005418j)  (0.005334+0.000944j)  (-0.015055+0.000839j)  (-0.017674+0.044375j)  (-0.026824-0.121765j)  (-0.025865-0.003198j)  (0.010307+0.016019j)  (-0.959304+0.013403j)  (0.005947+0.016760j)  (-0.032330+0.011825j)  (-0.002491+0.017149j)  (0.010803+0.012215j)  (-0.024002+0.013127j)  (0.028381-0.003578j)  (-0.003557+0.027948j)  (0.014344-0.000521j)  (0.011286+0.029883j)  (0.000546-0.009192j)  (-0.028913+0.106226j)  (0.026838-0.045011j)  (-0.015399-0.118777j)  (0.017199-0.008571j)  (0.022811+0.004349j)  (0.056642+0.072960j)  (0.015297-0.033238j)  (0.029736-0.014033j)  (-0.005486-0.007396j)
 (0.002041-0.011228j)  (-0.001089-0.009160j)  (-0.002413-0.089387j)  (0.020488-0.003356j)  (-0.009131+0.004438j)  (-0.002381+0.022280j)  (-0.003320-0.003797j)  (-0.003955-0.064732j)  (0.004307-0.000059j)  (0.007709-0.008530j)  (-0.002613+0.015699j)  (-0.014173-0.012015j)  (0.000638+0.014853j)  (-0.985366+0.002675j)  (-0.018524+0.004305j)  (0.011032-0.006894j)  (0.020539-0.001184j)  (0.033906+0.006416j)  (-0.007330-0.015760j)  (-0.006253-0.012306j)  (-0.019199-0.003998j)  (-0.018079+0.004525j)  (0.033371+0.032786j)  (0.010340+0.010572j)  (0.040025-0.024777j)  (-0.029965-0.040027j)  (0.020600+0.029482j)  (-0.000610+0.000720j)  (-0.020949-0.020589j)  (0.020681-0.025915j)  (-0.008085+0.022171j)  (-0.002325-0.016939j)
 (0.012099-0.004587j)  (0.035583+0.111412j)  (-0.030172-0.073538j)  (0.006215-0.001911j)  (0.001716+0.022503j)  (0.000595-0.012667j)  (-0.005064-0.088635j)  (-0.010710+0.063578j)  (-0.007112-0.039819j)  (-0.012560+0.049876j)  (-0.001806-0.018218j)  (0.004221-0.002543j)  (0.017099+0.002423j)  (0.023151+0.001942j)  (-0.957655+0.030156j)  (-0.022032-0.003785j)  (-0.007444-0.005351j)  (0.043489+0.046390j)  (-0.025312+0.034577j)  (-0.022404-0.070628j)  (-0.035845+0.052167j)  (0.011190-0.041364j)  (0.036533-0.013859j)  (-0.034412+0.000487j)  (0.003849+0.007718j)  (0.017785+0.011789j)  (-0.014726+0.002800j)  (-0.058724-0.001023j)  (0.065793-0.076708j)  (0.009832-0.091967j)  (-0.003502-0.007643j)  (-0.001429+0.006549j)
 (0.003217-0.000513j)  (-0.035960-0.132271j)  (-0.009801-0.006692j)  (0.000202-0.004362j)  (-0.040609-0.019115j)  (-0.008081+0.010205j)  (-0.007517-0.000563j)  (0.001804+0.029503j)  (0.001165+0.002768j)  (0.015262+0.006897j)  (-0.000935+0.070062j)  (-0.007397+0.010723j)  (0.005358+0.004590j)  (-0.010354-0.008803j)  (0.013378-0.008328j)  (-0.976451+0.039430j)  (0.040279-0.043255j)  (0.015557-0.000150j)  (-0.000527-0.010836j)  (-0.026487-0.004791j)  (-0.041600-0.008759j)  (0.004130+0.010602j)  (-0.028696-0.076482j)  (0.027123+0.018259j)  (-0.003509+0.012900j)  (0.002726-0.006122j)  (0.001163+0.004999j)  (-0.029326-0.000806j)  (0.030488-0.013847j)  (0.010627-0.011463j)  (0.004054-0.008751j)  (-0.014441+0.005468j)
 (0.031679+0.065470j)  (0.010727+0.005812j)  (0.007718+0.011161j)  (-0.005650+0.001212j)  (-0.002819+0.057114j)  (0.006561+0.000352j)  (-0.007943-0.054478j)  (-0.018900-0.051214j)  (-0.008506+0.008432j)  (0.021674+0.080549j)  (-0.005357+0.019355j)  (0.036781+0.008646j)  (-0.010115+0.019427j)  (-0.012716+0.003568j)  (0.003213-0.008442j)  (-0.043345-0.039858j)  (-0.953795+0.031285j)  (0.019746-0.005242j)  (0.025490-0.019344j)  (0.021041+0.012158j)  (0.000063-0.019672j)  (-0.036969-0.045264j)  (-0.030295-0.013171j)  (0.007032+0.004392j)  (0.006700+0.033331j)  (-0.027457-0.067578j)  (0.021169+0.106547j)  (0.078405+0.117412j)  (0.036236+0.077093j)  (0.012115-0.021719j)  (0.052605+0.072938j)  (0.003678-0.001247j)
 (0.009009+0.001523j)  (0.001630+0.000183j)  (-0.035629-0.115084j)  (-0.009599-0.054806j)  (-0.017144-0.038315j)  (0.005342+0.007268j)  (0.003497-0.068928j)  (0.007574+0.012178j)  (0.010887+0.008203j)  (0.009401+0.113411j)  (0.004067-0.003345j)  (-0.036327+0.107581j)  (0.016966+0.010355j)  (-0.022435-0.009965j)  (-0.023202+0.037627j)  (-0.002789+0.001981j)  (-0.013190+0.009115j)  (-0.953734-0.015636j)  (0.000570+0.015871j)  (-0.032290+0.018939j)  (-0.002804+0.053787j)  (0.011741+0.031405j)  (0.004572-0.092054j)  (0.069092-0.046884j)  (0.015243-0.024420j)  (-0.002472-0.021327j)  (0.038044-0.004260j)  (-0.048943-0.007188j)  (-0.043352+0.038224j)  (-0.009292-0.027377j)  (0.012526+0.009641j)  (-0.009831-0.074093j)
 (-0.005105+0.011463j)  (0.012468+0.085608j)  (-0.033446+0.086263j)  (-0.005514-0.005129j)  (-0.014824+0.002036j)  (-0.003277-0.026582j)  (0.008312+0.106163j)  (0.002963-0.016580j)  (-0.003389+0.006581j)  (0.000844+0.020222j)  (-0.018248+0.066404j)  (0.080094+0.094260j)  (-0.034855+0.002245j)  (-0.003601-0.018236j)  (0.012140+0.030131j)  (-0.010530-0.017143j)  (-0.007739+0.001426j)  (-0.007742-0.008176j)  (-0.957716-0.062334j)  (-0.001071+0.014388j)  (0.014388+0.018474j)  (-0.009023-0.022937j)  (0.004345+0.028487j)  (0.010269-0.032112j)  (-0.038857+0.085228j)  (-0.003687-0.030794j)  (0.012169+0.001024j)  (-0.025840+0.032887j)  (-0.064265+0.044080j)  (0.021889-0.018623j)  (0.012144+0.012234j)  (-0.013307+0.063343j)
 (-0.003394-0.000462j)  (-0.010315-0.005646j)  (-0.010242+0.003244j)  (0.020892-0.005027j)  (-0.015843+0.072438j)  (0.003162-0.012904j)  (-0.034339-0.087942j)  (0.007035+0.024655j)  (0.011667+0.010373j)  (-0.011476+0.028670j)  (0.007272+0.007566j)  (0.090785-0.126260j)  (-0.005197+0.007217j)  (0.007516-0.004770j)  (0.020878-0.071306j)  (0.024101-0.005999j)  (-0.010042-0.002422j)  (0.009533+0.016358j)  (-0.017482-0.011301j)  (-0.959434+0.016931j)  (0.041532-0.107988j)  (-0.034891+0.050531j)  (0.022618+0.022395j)  (0.028248-0.007981j)  (-0.004109+0.009902j)  (-0.028599-0.059531j)  (-0.011413-0.029590j)  (0.024951-0.015628j)  (0.028259-0.027608j)  (-0.020942+0.026318j)  (-0.001324-0.020152j)  (0.044926+0.006537j)
 (0.006845-0.001921j)  (0.015362+0.111206j)  (0.011169+0.013441j)  (0.032404+0.049552j)  (0.025071-0.001745j)  (0.016441-0.008640j)  (0.040156-0.006916j)  (-0.050625+0.102970j)  (-0.020557+0.014156j)  (-0.020847+0.003147j)  (0.132103-0.015380j)  (0.024977-0.014307j)  (-0.001503+0.004640j)  (0.008199-0.006821j)  (0.051951+0.071761j)  (0.025762-0.000953j)  (-0.000066-0.028855j)  (-0.007040+0.069661j)  (-0.010960-0.015384j)  (-0.017171-0.095350j)  (-0.936136-0.091939j)  (-0.005903+0.135790j)  (0.061722-0.022253j)  (-0.021613+0.028614j)  (-0.010190+0.038077j)  (0.039049-0.027829j)  (-0.005161+0.008905j)  (0.055344+0.003948j)  (0.022265+0.070665j)  (-0.039764+0.010269j)  (0.001836+0.002429j)  (0.027828-0.012482j)
