 (-0.968916+0.012721j)  (-0.007780+0.023765j)  (0.051894+0.020433j)  (-0.028204+0.009700j)  (-0.073867+0.010940j)  (0.012832+0.003999j)  (-0.004976-0.007766j)  (-0.005517-0.019356j)  (0.003343+0.012644j)  (-0.020336+0.019715j)  (-0.014748+0.012031j)  (0.004960+0.022087j)  (-0.008530+0.003940j)  (-0.019062+0.089546j)  (0.017748-0.011133j)  (-0.079742-0.014696j)  (-0.012135-0.091089j)  (-0.011606-0.008856j)  (0.012380-0.000540j)  (-0.011065-0.010506j)  (0.008980+0.001287j)  (-0.015782-0.011388j)  (0.022934-0.112025j)  (-0.023371+0.005893j)  (-0.002834+0.014920j)  (0.015398-0.003338j)  (-0.024455+0.020467j)  (-0.006116+0.018678j)  (-0.051499-0.055780j)  (0.023572-0.002452j)  (0.032440-0.015890j)  (0.011336-0.005861j)
 (-0.000786+0.032371j)  (-0.954945-0.002982j)  (0.019561-0.109309j)  (0.001200+0.003730j)  (-0.036570-0.080905j)  (0.001652+0.058746j)  (0.015168-0.058694j)  (0.007562-0.056037j)  (-0.014000+0.013530j)  (0.014548-0.027502j)  (-0.044530-0.093741j)  (-0.000958+0.000687j)  (-0.013273-0.007430j)  (0.010909+0.002193j)  (-0.012765-0.016339j)  (0.024147+0.013750j)  (0.013248+0.027772j)  (0.024673+0.007312j)  (-0.027764+0.023269j)  (-0.005836+0.009951j)  (0.007159+0.078297j)  (-0.014961+0.011550j)  (-0.018395+0.071396j)  (0.025887+0.097542j)  (-0.026351-0.021582j)  (-0.009847+0.000311j)  (-0.019398-0.075769j)  (-0.028259+0.022162j)  (0.000085-0.067977j)  (0.011127+0.037676j)  (0.041103+0.000547j)  (-0.031578-0.007856j)
 (-0.042117+0.044370j)  (-0.010591-0.098728j)  (-0.947537-0.056362j)  (-0.006349-0.118941j)  (0.002511-0.064422j)  (0.001896+0.031178j)  (-0.000651+0.013886j)  (-0.000013-0.022718j)  (0.015852-0.089522j)  (-0.030784-0.006533j)  (0.043963-0.048124j)  (-0.034726-0.013116j)  (-0.020187-0.007932j)  (-0.016998+0.090207j)  (-0.032188+0.046913j)  (0.019236-0.076183j)  (0.026156-0.062448j)  (-0.027809+0.000542j)  (-0.031469+0.066380j)  (-0.023716-0.001745j)  (-0.008095-0.061180j)  (0.014199+0.001343j)  (-0.019044-0.029024j)  (-0.011186-0.052844j)  (-0.010564+0.017910j)  (0.006572+0.046595j)  (0.031277-0.012701j)  (-0.035308-0.001993j)  (0.026854-0.028680j)  (0.020684+0.043050j)  (0.016728+0.024284j)  (0.006980+0.054237j)
 (0.017482-0.013614j)  (0.006545-0.000176j)  (0.000759-0.128681j)  (-0.931873+0.006977j)  (-0.018515+0.076559j)  (0.024103+0.017754j)  (0.004105+0.093657j)  (-0.008807+0.008398j)  (-0.006523+0.014759j)  (0.055585-0.086990j)  (0.015761+0.005366j)  (0.068447-0.017803j)  (0.024922-0.037460j)  (0.031653-0.009682j)  (0.013184-0.017565j)  (0.032840+0.021355j)  (-0.015707+0.004228j)  (-0.034398-0.007206j)  (0.018184+0.070529j)  (-0.008308-0.027333j)  (-0.084620+0.024110j)  (-0.060444-0.063971j)  (-0.012138+0.047495j)  (0.007418+0.027219j)  (-0.002470+0.093764j)  (0.013488+0.137955j)  (0.019629+0.003662j)  (0.001245-0.016390j)  (-0.013001-0.002046j)  (0.049211-0.131638j)  (-0.011607-0.013307j)  (-0.004119-0.043145j)
 (0.060099+0.002185j)  (0.027610-0.078156j)  (0.001855-0.046086j)  (0.016529+0.070866j)  (-0.963246-0.007884j)  (0.014570+0.003494j)  (0.026112+0.017431j)  (0.031631+0.009773j)  (0.008143-0.001384j)  (-0.012778-0.005717j)  (-0.000457+0.087741j)  (-0.015430+0.005201j)  (0.046929-0.052691j)  (-0.017544+0.015495j)  (-0.021664+0.004698j)  (-0.005881+0.029310j)  (0.025716-0.045440j)  (-0.006704+0.014169j)  (-0.029318-0.005657j)  (-0.026261+0.007518j)  (0.021594-0.002535j)  (0.012549+0.004175j)  (-0.058349+0.043318j)  (0.023808-0.055470j)  (0.029720-0.026554j)  (0.006634-0.000234j)  (0.012577+0.029341j)  (-0.031721+0.073118j)  (0.064793+0.075925j)  (-0.042580+0.027074j)  (-0.016890+0.026274j)  (-0.008066-0.001824j)
 (-0.001976-0.011873j)  (-0.001570+0.055502j)  (-0.007118+0.014269j)  (-0.007102+0.022393j)  (-0.015618+0.002044j)  (-0.979448-0.012941j)  (-0.004911+0.015948j)  (-0.019920-0.006924j)  (0.000759-0.014552j)  (-0.000774-0.022137j)  (0.010995-0.013022j)  (0.003440-0.016111j)  (0.013410-0.001753j)  (0.019224+0.000717j)  (0.003100-0.027189j)  (-0.030924+0.055969j)  (-0.052059-0.065415j)  (-0.025875-0.008591j)  (0.006362+0.117866j)  (-0.009914+0.006422j)  (0.011487+0.010960j)  (-0.012095-0.008779j)  (-0.020961+0.016838j)  (-0.000152+0.022633j)  (0.013849+0.009745j)  (0.009882+0.003035j)  (-0.001844+0.019255j)  (-0.008617+0.016068j)  (-0.007619+0.013091j)  (0.003373+0.005272j)  (0.015089-0.054440j)  (0.025483+0.011368j)
 (0.011837+0.003939j)  (-0.020132-0.064773j)  (0.006041+0.004991j)  (-0.017984+0.081135j)  (-0.017284+0.012800j)  (-0.004688+0.011979j)  (-0.977350-0.007138j)  (-0.002409-0.009074j)  (0.002301+0.011176j)  (-0.046642+0.001828j)  (0.007028-0.014737j)  (0.002639-0.016209j)  (-0.013176+0.002823j)  (-0.000941+0.012248j)  (0.001465+0.010032j)  (0.017997-0.098432j)  (0.017310-0.004043j)  (-0.004831+0.012410j)  (0.047835-0.004263j)  (0.072615+0.012708j)  (0.017312+0.016900j)  (0.006352+0.014650j)  (0.012162-0.044815j)  (0.001740-0.003929j)  (0.018827-0.014167j)  (0.025071+0.009358j)  (0.000996-0.006194j)  (0.028467+0.040265j)  (0.033381+0.015306j)  (-0.017795+0.013925j)  (0.009471+0.019209j)  (0.040139-0.009002j)
 (-0.002554-0.015853j)  (-0.016333-0.064262j)  (-0.000274-0.017561j)  (0.008657-0.000735j)  (-0.015008+0.003758j)  (0.011206-0.008550j)  (0.010500-0.007461j)  (-0.974171+0.011750j)  (0.038266-0.002060j)  (-0.021072+0.000337j)  (0.000966+0.090729j)  (0.020898-0.009131j)  (-0.001070-0.006809j)  (-0.018183-0.096484j)  (-0.031319+0.059627j)  (-0.016683-0.056431j)  (0.004760-0.006854j)  (-0.019116+0.023514j)  (0.028053-0.012145j)  (-0.051300+0.029169j)  (0.014848-0.007469j)  (0.004707+0.014595j)  (0.001519+0.015092j)  (-0.022504+0.051226j)  (0.017790+0.049980j)  (-0.029001-0.025660j)  (0.016153+0.012707j)  (0.009386+0.035012j)  (0.016224+0.017238j)  (0.007360+0.004528j)  (0.007600+0.024292j)  (-0.012125-0.010049j)
 (0.002803+0.008681j)  (0.003229+0.007008j)  (-0.014619-0.088148j)  (-0.007254-0.002312j)  (0.006079+0.010335j)  (-0.007400-0.015914j)  (0.001974+0.009642j)  (-0.012768-0.001951j)  (-0.960525+0.010975j)  (-0.075662+0.063315j)  (-0.012496+0.043971j)  (-0.026893-0.019331j)  (0.038523-0.031291j)  (-0.015607-0.009868j)  (0.014441+0.088279j)  (0.001657+0.020488j)  (0.018775-0.008312j)  (-0.008202+0.016587j)  (0.019396-0.003721j)  (-0.041719-0.011472j)  (0.051238+0.022165j)  (0.071529-0.012211j)  (0.032871-0.081566j)  (-0.004923+0.035579j)  (0.018943+0.077416j)  (0.017524-0.100473j)  (0.030370+0.001994j)  (-0.017398-0.000367j)  (0.005110+0.049804j)  (-0.018182-0.014008j)  (-0.005870+0.051127j)  (-0.007737-0.008177j)
 (0.021691+0.019167j)  (-0.001111-0.014765j)  (0.036166-0.010264j)  (-0.034529-0.088241j)  (0.008380-0.002967j)  (0.001743-0.011786j)  (0.041657+0.005657j)  (0.018190+0.002418j)  (0.064769+0.074341j)  (-0.939634-0.010655j)  (0.020942+0.001284j)  (0.003910-0.113076j)  (-0.051697+0.133134j)  (0.024145+0.002457j)  (0.026103-0.051016j)  (0.002055+0.013417j)  (-0.002921-0.023378j)  (0.002917+0.069134j)  (-0.055763-0.015171j)  (-0.025585-0.005064j)  (-0.025674+0.133832j)  (0.020843-0.034066j)  (-0.016632+0.006104j)  (0.016194-0.018963j)  (-0.032311+0.002396j)  (0.016289+0.032434j)  (0.008673+0.015455j)  (-0.031589+0.059891j)  (0.068124-0.023356j)  (0.093274-0.047442j)  (-0.008305-0.002238j)  (0.039526-0.016721j)
 (0.000053+0.000113j)  (0.043051-0.098216j)  (-0.038177-0.048910j)  (0.008778-0.003482j)  (0.017202+0.082150j)  (-0.005333-0.016011j)  (-0.001812-0.007700j)  (-0.000266+0.095073j)  (0.006047+0.034748j)  (-0.004729-0.001157j)  (-0.959236-0.015851j)  (0.010640+0.022630j)  (0.000992+0.005993j)  (0.008733+0.005350j)  (0.022999-0.094207j)  (-0.017802-0.011142j)  (-0.044044-0.003596j)  (0.016462-0.001620j)  (-0.017183+0.072149j)  (-0.012886+0.037712j)  (-0.005812+0.039969j)  (0.019485+0.015646j)  (-0.028355+0.023840j)  (0.006529-0.061293j)  (-0.006661+0.071541j)  (-0.006007+0.031929j)  (-0.010642-0.081774j)  (0.023833+0.003736j)  (0.055382+0.038216j)  (-0.002672+0.026812j)  (-0.013373-0.009406j)  (-0.001036+0.000551j)
