 (-0.007410+0.004982j)  (-0.005620-0.007096j)  (-0.004315+0.001084j)  (-0.003012+0.000049j)  (-0.000491+0.000268j)  (0.014504-0.083318j)  (0.001022+0.003171j)  (0.006102-0.014292j)  (0.000815-0.001841j)  (0.003924+0.001178j)  (0.000039-0.000258j)  (-0.993174+0.005893j)  (-0.012044+0.006770j)  (0.006551+0.006023j)  (0.002371-0.000050j)  (0.000175+0.006997j)  (-0.009884-0.000748j)  (-0.016557-0.005402j)  (-0.000969-0.001678j)  (-0.001125+0.071654j)  (0.001456+0.001034j)  (0.002228+0.000519j)  (0.000758+0.001139j)  (0.000833-0.000152j)  (0.000510+0.000264j)  (-0.000575+0.001764j)  (-0.002114-0.002764j)  (0.005298+0.001078j)  (0.001517-0.004345j)  (0.000486-0.001373j)  (-0.001594+0.002332j)  (-0.001149+0.000463j)
 (-0.008124-0.000290j)  (0.007360+0.001097j)  (-0.104779-0.023680j)  (0.005653-0.008260j)  (0.000767-0.000592j)  (-0.015825-0.000606j)  (0.000538-0.002073j)  (-0.042966+0.129770j)  (0.038122+0.044258j)  (0.002272-0.001822j)  (-0.000863+0.002327j)  (0.010915+0.005485j)  (-0.967237-0.028700j)  (0.067267+0.082480j)  (-0.005810+0.001969j)  (-0.003884-0.006698j)  (-0.012313+0.008099j)  (0.002633+0.002357j)  (-0.020478-0.119936j)  (0.012069+0.000623j)  (0.000681-0.002657j)  (0.007681-0.002564j)  (0.011362-0.000316j)  (0.003304+0.003421j)  (-0.003446+0.001289j)  (-0.000825-0.000738j)  (0.010620-0.026841j)  (0.001860-0.001646j)  (-0.005187-0.007338j)  (0.032223+0.023195j)  (-0.001736+0.000075j)  (0.000508+0.002188j)
 (0.001514-0.000030j)  (-0.007094-0.129819j)  (0.034273+0.026309j)  (0.014949-0.012865j)  (-0.002136+0.000431j)  (0.000889+0.002923j)  (0.001658+0.005155j)  (-0.004534+0.000112j)  (-0.002392+0.002390j)  (0.003799-0.003644j)  (-0.004016+0.003296j)  (0.000076+0.009631j)  (-0.077646+0.082757j)  (-0.961115+0.005066j)  (0.039381-0.008344j)  (0.001989+0.005006j)  (0.011737-0.015402j)  (-0.004431-0.001345j)  (-0.007043+0.000853j)  (-0.049630+0.065601j)  (-0.000710+0.004417j)  (0.003013+0.002983j)  (-0.012525+0.028412j)  (-0.002014-0.000183j)  (0.004199+0.003024j)  (0.000758+0.000485j)  (0.099354+0.155384j)  (-0.001442+0.003418j)  (0.002828+0.004601j)  (-0.001714-0.002232j)  (0.001613-0.000242j)  (0.000176-0.001979j)
 (0.000302-0.001078j)  (0.079189-0.180029j)  (0.001717-0.000903j)  (0.048888-0.021225j)  (-0.000320+0.001242j)  (0.005390+0.001185j)  (-0.004042-0.001325j)  (0.001573+0.001476j)  (0.001338+0.001278j)  (-0.005562-0.008710j)  (-0.039537+0.076406j)  (-0.002076+0.003219j)  (0.007463-0.000224j)  (-0.015968+0.004645j)  (-0.970329-0.000063j)  (0.040679-0.023362j)  (0.010859-0.002669j)  (0.004137-0.000092j)  (-0.040136-0.000211j)  (-0.015723+0.002268j)  (-0.002705-0.000242j)  (-0.001392+0.005033j)  (0.000006-0.003759j)  (-0.000788+0.000825j)  (-0.001401+0.000918j)  (-0.000694+0.000744j)  (-0.010034-0.007502j)  (0.003126+0.000854j)  (0.033809+0.020570j)  (-0.008930+0.054017j)  (-0.001178-0.005371j)  (-0.000747-0.000366j)
 (0.004519-0.010564j)  (0.001971-0.001940j)  (0.000867-0.001670j)  (-0.001206-0.001839j)  (0.000034+0.000877j)  (0.014167-0.005761j)  (-0.000641+0.000293j)  (-0.050613+0.061335j)  (0.000862+0.001741j)  (-0.000111+0.000232j)  (-0.000107-0.001257j)  (-0.001031+0.008043j)  (0.014963-0.001066j)  (-0.003878+0.002204j)  (-0.040629-0.023504j)  (-0.991661+0.007824j)  (0.011207-0.007225j)  (0.003540-0.005158j)  (-0.002203-0.004161j)  (-0.000983+0.001268j)  (-0.001576-0.002198j)  (-0.000545-0.001063j)  (-0.001161-0.000813j)  (-0.046852+0.069215j)  (-0.000636+0.001082j)  (0.001085-0.001935j)  (0.001163-0.001586j)  (0.000472-0.001328j)  (0.003912-0.000816j)  (0.003161-0.000394j)  (0.002238+0.006142j)  (0.000024+0.001172j)
 (0.012780-0.005813j)  (0.038869+0.003208j)  (0.002866+0.006057j)  (0.000323-0.000205j)  (-0.001016+0.001733j)  (-0.011257+0.089360j)  (-0.001255+0.001105j)  (0.002286-0.048172j)  (-0.000831-0.000644j)  (-0.001359+0.000766j)  (-0.000418+0.000396j)  (0.002257-0.000013j)  (0.003451+0.008399j)  (-0.000658-0.004453j)  (-0.009317+0.004254j)  (-0.014475-0.003405j)  (-0.990500-0.001386j)  (0.008573-0.003253j)  (-0.001576-0.000557j)  (-0.004997+0.000826j)  (0.000160+0.000781j)  (-0.001381+0.000975j)  (-0.007543+0.005045j)  (-0.002954+0.000260j)  (0.005377-0.000064j)  (-0.027373+0.027437j)  (0.004294+0.065242j)  (-0.000999+0.013228j)  (0.000495+0.004611j)  (0.002787-0.002264j)  (0.005120-0.003048j)  (0.000333-0.001679j)
 (0.011450-0.015084j)  (0.000598-0.000997j)  (0.010855-0.002675j)  (0.000923+0.003256j)  (-0.036415-0.038599j)  (-0.009163+0.161156j)  (-0.000243+0.000287j)  (-0.001536+0.021318j)  (-0.000542+0.001260j)  (0.001570-0.001608j)  (0.000102+0.000187j)  (0.002120-0.003574j)  (-0.000847-0.000662j)  (0.005062-0.001491j)  (-0.003751+0.000619j)  (-0.002880-0.003869j)  (0.004444-0.004146j)  (-0.983352+0.005715j)  (0.002584+0.001920j)  (-0.004498+0.001060j)  (-0.000945+0.001130j)  (-0.001399-0.000427j)  (-0.001354+0.000023j)  (0.000262-0.000946j)  (0.002631+0.002100j)  (0.000418-0.001616j)  (0.000584-0.003637j)  (-0.005178-0.054040j)  (0.003623+0.001032j)  (0.000178+0.000981j)  (-0.000310+0.001920j)  (0.000288-0.001350j)
 (-0.002514+0.001666j)  (0.004208+0.001278j)  (0.009046-0.005684j)  (0.001397-0.000909j)  (-0.002522-0.000998j)  (-0.000873-0.003902j)  (0.007519-0.002737j)  (0.006523-0.015014j)  (-0.000458-0.004258j)  (-0.001671+0.000148j)  (-0.001456-0.001464j)  (0.000533-0.000456j)  (0.024370-0.124469j)  (-0.005282+0.009244j)  (0.034808-0.002525j)  (0.000362-0.004930j)  (0.000718-0.000801j)  (-0.003462+0.001670j)  (-0.982061-0.021501j)  (0.000405-0.000948j)  (0.000295+0.001075j)  (-0.008763-0.047044j)  (0.004096+0.000135j)  (-0.000220-0.001366j)  (-0.001528-0.004099j)  (0.000992+0.001046j)  (-0.001720-0.005010j)  (-0.005171-0.000856j)  (-0.001597-0.001193j)  (0.071675-0.097788j)  (-0.000722+0.002486j)  (0.002335-0.002494j)
 (-0.000578-0.001795j)  (-0.012311+0.076937j)  (0.001228-0.000598j)  (0.000455-0.003573j)  (0.002152+0.000833j)  (0.002968+0.000005j)  (0.000813-0.002421j)  (-0.000541+0.003360j)  (0.001793-0.000008j)  (-0.014634-0.123927j)  (0.000269+0.002770j)  (0.001081+0.070684j)  (-0.002610+0.002324j)  (0.040277+0.058364j)  (0.003016+0.006480j)  (0.001429+0.000879j)  (0.003129+0.002663j)  (0.002511-0.000125j)  (-0.000258-0.000743j)  (-0.982117-0.003252j)  (0.001230-0.000234j)  (-0.000146-0.000109j)  (0.005873-0.000821j)  (-0.000463+0.000615j)  (-0.002766+0.000701j)  (0.001272+0.000743j)  (0.020364-0.025876j)  (-0.017794+0.038801j)  (0.010692+0.023011j)  (0.002662+0.002477j)  (0.001846+0.000292j)  (0.000346-0.000806j)
 (0.000286-0.000889j)  (-0.001101+0.000194j)  (0.000290+0.000106j)  (0.002776+0.000852j)  (-0.000995-0.000164j)  (0.000954-0.000582j)  (0.000564-0.002550j)  (0.000955-0.001160j)  (-0.001843-0.001136j)  (-0.000242-0.000599j)  (-0.000277+0.000497j)  (-0.001405+0.001166j)  (-0.000621-0.002469j)  (0.000792+0.004780j)  (0.002954-0.000509j)  (0.001353-0.002066j)  (-0.000176+0.000753j)  (0.000810+0.000960j)  (0.000250+0.001068j)  (-0.000685+0.000094j)  (-0.999913-0.007073j)  (-0.001078-0.001119j)  (-0.000627+0.000024j)  (-0.000849-0.001000j)  (-0.001218-0.002392j)  (-0.000315+0.001963j)  (0.000311+0.000184j)  (-0.000072+0.001042j)  (-0.001076+0.000375j)  (0.001464+0.000908j)  (0.004399+0.000764j)  (-0.000018+0.001599j)
