 (-0.942369-0.024110j)  (0.033891+0.048480j)  (0.026122+0.099071j)  (-0.046872-0.000946j)  (0.012234-0.044863j)  (-0.019360-0.023197j)  (-0.007127+0.015763j)  (0.004028-0.021796j)  (0.004980+0.012386j)  (0.017593-0.095824j)  (0.036532+0.081637j)  (-0.006550+0.017717j)  (-0.025039+0.024932j)  (-0.026346-0.029376j)  (-0.058637-0.011414j)  (0.000451-0.162887j)  (-0.004898+0.022751j)  (0.034136-0.040580j)  (0.047680+0.004549j)  (0.001335-0.008134j)  (-0.018679+0.025407j)  (-0.006238-0.039965j)  (0.079484+0.002210j)  (-0.033851-0.012883j)  (-0.025086-0.008919j)  (-0.019023+0.001306j)  (-0.007111+0.003964j)  (-0.035300+0.020019j)  (0.017243+0.009016j)  (0.055769-0.038360j)  (0.031177+0.121874j)  (-0.017896-0.022232j)
 (0.007949+0.006510j)  (0.010361+0.004973j)  (-0.010325+0.009466j)  (-0.004868-0.012917j)  (-0.002988+0.008513j)  (-0.006085-0.016302j)  (0.001512-0.006109j)  (-0.030586+0.005919j)  (0.008854+0.012386j)  (-0.020122-0.071322j)  (0.009408-0.000163j)  (-0.957758+0.027825j)  (-0.021396+0.020209j)  (0.028495+0.003881j)  (-0.027453-0.000864j)  (0.049447+0.029738j)  (-0.024084-0.003377j)  (0.061878-0.013186j)  (0.008242-0.012520j)  (0.031529-0.025756j)  (-0.006300-0.014491j)  (-0.006096-0.001553j)  (-0.026921-0.089814j)  (0.018472-0.014177j)  (-0.017269+0.121882j)  (0.020520+0.007506j)  (0.007850+0.010834j)  (-0.008528+0.069882j)  (-0.015153-0.001177j)  (-0.027620-0.136358j)  (-0.012827-0.068421j)  (0.065146-0.052676j)
 (0.008497-0.004271j)  (-0.009099-0.005102j)  (0.002593-0.005580j)  (-0.019626+0.002297j)  (-0.025294-0.115146j)  (-0.016193-0.001679j)  (-0.012913-0.018388j)  (0.018526-0.006915j)  (-0.005525-0.007102j)  (0.001748+0.134935j)  (0.008591+0.009644j)  (-0.000200+0.027076j)  (-0.947348+0.007065j)  (-0.057417+0.061743j)  (-0.018532+0.020386j)  (-0.099634+0.022793j)  (-0.026218-0.033656j)  (0.015001-0.012281j)  (-0.011571-0.013036j)  (0.015764+0.056367j)  (0.047379+0.005882j)  (-0.025352-0.014534j)  (0.008449-0.073655j)  (-0.013493-0.000853j)  (-0.030170+0.021410j)  (0.005600-0.073902j)  (-0.008135-0.000891j)  (-0.000121-0.000677j)  (0.042887-0.087925j)  (-0.053557+0.068522j)  (-0.020055+0.009807j)  (-0.007487+0.099672j)
 (0.019161-0.032052j)  (-0.011775-0.018786j)  (-0.009757-0.083084j)  (-0.007227+0.003152j)  (0.009122+0.017483j)  (-0.020231-0.010891j)  (0.027954+0.004337j)  (0.000618+0.078944j)  (-0.011378-0.000338j)  (-0.021919-0.010476j)  (-0.014293+0.003882j)  (-0.017296-0.012097j)  (0.047324+0.060169j)  (-0.975937-0.014421j)  (-0.016979-0.002177j)  (0.034804-0.002111j)  (-0.022575-0.012756j)  (0.000955-0.010558j)  (-0.013290-0.012205j)  (0.013156+0.043891j)  (0.019640-0.016294j)  (0.004210+0.020263j)  (-0.032181-0.009412j)  (0.026623+0.025577j)  (0.050411+0.049997j)  (-0.037423+0.032778j)  (0.033011+0.001787j)  (0.023372-0.010872j)  (-0.017562-0.004816j)  (0.008851-0.043232j)  (0.001914+0.052105j)  (-0.015259-0.020258j)
 (0.040026+0.005212j)  (0.034220-0.070544j)  (0.014221-0.062575j)  (-0.007485-0.004387j)  (0.022668+0.007110j)  (-0.004009-0.018017j)  (0.012996-0.041226j)  (0.051337-0.031140j)  (0.045027+0.067329j)  (0.040720+0.006723j)  (-0.012202+0.000322j)  (0.033116-0.001778j)  (0.012985+0.007648j)  (0.025094-0.001401j)  (-0.957476+0.003262j)  (0.054236+0.103356j)  (0.008151-0.004048j)  (-0.009522-0.078202j)  (-0.012683+0.047678j)  (0.013941-0.014272j)  (0.004542+0.031451j)  (0.019574-0.112905j)  (-0.014923+0.008657j)  (-0.004613+0.054079j)  (0.043165+0.003605j)  (0.024533+0.002321j)  (0.009037+0.004101j)  (-0.034644-0.070658j)  (0.018628+0.000012j)  (0.018341-0.048218j)  (-0.047896+0.005637j)  (0.013443+0.009511j)
 (0.019321-0.178417j)  (0.043456-0.004687j)  (-0.008872-0.017278j)  (-0.018712+0.026584j)  (-0.002247-0.026980j)  (-0.086859-0.025813j)  (0.088434+0.074342j)  (0.014010-0.018952j)  (-0.013010+0.006303j)  (0.033226-0.050825j)  (0.036109+0.038410j)  (-0.018352+0.019771j)  (0.090833+0.018140j)  (-0.015299-0.004563j)  (-0.033241+0.090450j)  (-0.933050-0.004595j)  (0.062911+0.007608j)  (-0.001632-0.044824j)  (0.018963-0.005998j)  (-0.003635+0.006671j)  (0.000320+0.009033j)  (-0.034773-0.058888j)  (-0.009723-0.066916j)  (0.008923+0.020973j)  (0.010787+0.040117j)  (0.037079+0.079518j)  (-0.012136-0.011161j)  (-0.033565+0.038804j)  (-0.037581+0.031063j)  (-0.010015-0.032183j)  (-0.095386-0.023401j)  (0.048786-0.035728j)
 (-0.003203+0.015941j)  (0.018349+0.010839j)  (-0.022439+0.039210j)  (0.003820+0.001805j)  (-0.016803+0.061275j)  (0.039269-0.068556j)  (-0.022374+0.059480j)  (-0.007021-0.015325j)  (-0.018035-0.014656j)  (-0.004223+0.002956j)  (0.019509-0.000081j)  (0.032115-0.006394j)  (0.024220-0.033550j)  (0.012138-0.008114j)  (-0.012110+0.002705j)  (-0.050884+0.012318j)  (-0.967871-0.002108j)  (-0.009988+0.014317j)  (-0.001364+0.008535j)  (-0.022969-0.010782j)  (-0.013413+0.007150j)  (-0.092589-0.012298j)  (0.016202-0.020932j)  (-0.010791-0.037646j)  (0.011633+0.046168j)  (0.047880+0.060146j)  (0.005216+0.094622j)  (0.028944-0.040354j)  (0.005193+0.037589j)  (-0.028971+0.003161j)  (-0.045841-0.027999j)  (0.027721+0.034990j)
 (-0.014514-0.025096j)  (-0.012690+0.013717j)  (-0.027675+0.010295j)  (-0.000655-0.025910j)  (-0.012384-0.026913j)  (-0.001526-0.016084j)  (0.004316-0.019574j)  (-0.003263+0.010565j)  (0.006572-0.014930j)  (-0.007759-0.080804j)  (-0.009541-0.002679j)  (-0.056496-0.004738j)  (-0.024530-0.013253j)  (0.000832-0.012086j)  (0.002946-0.094095j)  (0.001573-0.047348j)  (0.009121+0.020482j)  (-0.978172+0.005041j)  (-0.009770+0.009563j)  (0.016401+0.000073j)  (-0.037446-0.054275j)  (-0.039995-0.032561j)  (0.008847+0.006073j)  (0.020771+0.000795j)  (0.034053+0.041170j)  (0.012395-0.013341j)  (-0.011927-0.009157j)  (-0.021914-0.004424j)  (-0.000640-0.033437j)  (0.044479+0.013863j)  (-0.010802+0.005871j)  (0.010307+0.024246j)
 (-0.032407+0.010950j)  (0.008931+0.024241j)  (-0.017779+0.066525j)  (0.036826-0.038706j)  (0.024049+0.027033j)  (-0.034739+0.102429j)  (0.004623+0.016426j)  (0.015710-0.010230j)  (-0.008234+0.014689j)  (-0.007375+0.019785j)  (0.007948+0.085465j)  (-0.015174-0.016531j)  (0.006450-0.008488j)  (0.002019-0.018959j)  (0.000211+0.046129j)  (-0.007420-0.018722j)  (0.007330+0.010879j)  (0.005670+0.004417j)  (-0.975762-0.026472j)  (-0.013991+0.003434j)  (-0.012309+0.007598j)  (-0.042595-0.029365j)  (0.051683-0.004142j)  (-0.007905-0.004684j)  (-0.002045-0.007256j)  (-0.006986+0.005687j)  (-0.012350+0.012461j)  (0.005506-0.005842j)  (-0.032264+0.018435j)  (-0.010957+0.038213j)  (-0.015105+0.004463j)  (0.024341-0.045725j)
 (-0.000532-0.016944j)  (-0.005229+0.013869j)  (0.016225+0.002116j)  (-0.015109-0.014415j)  (-0.006136+0.015014j)  (0.004896+0.013562j)  (0.027581-0.116221j)  (0.078038-0.032522j)  (0.019671-0.005149j)  (-0.002279-0.007350j)  (0.034346+0.006502j)  (-0.025162-0.011391j)  (-0.009463+0.044584j)  (-0.012707+0.044153j)  (-0.010609-0.008573j)  (-0.000280-0.000247j)  (0.007913-0.007288j)  (-0.005807-0.003656j)  (0.009582-0.006845j)  (-0.971965-0.025657j)  (0.026673+0.002914j)  (-0.020441+0.031262j)  (-0.031457-0.021603j)  (0.009838-0.010877j)  (-0.007017+0.051030j)  (0.024723-0.026794j)  (-0.011392-0.038864j)  (0.016402+0.003451j)  (-0.019184-0.028892j)  (0.108784+0.007494j)  (0.025897-0.028041j)  (-0.003754+0.011873j)
 (0.012225+0.010940j)  (-0.003936+0.015016j)  (0.034086+0.091245j)  (0.026992-0.151366j)  (-0.002017-0.004417j)  (-0.003893+0.001945j)  (-0.000697-0.019327j)  (0.001532+0.056782j)  (0.002794+0.024453j)  (-0.064822+0.112196j)  (0.019954-0.086145j)  (0.008286-0.006158j)  (-0.018888+0.010868j)  (-0.027757-0.011383j)  (0.005233+0.053128j)  (-0.017141+0.028176j)  (0.018840+0.001386j)  (0.035087-0.059494j)  (0.019882+0.001276j)  (-0.022255+0.005667j)  (-0.944982-0.063021j)  (0.020359-0.055543j)  (0.023816-0.027009j)  (-0.021013-0.003455j)  (0.015691-0.000095j)  (0.006157-0.007992j)  (-0.003421+0.081002j)  (-0.055328-0.038158j)  (-0.000571-0.072468j)  (0.034932-0.026151j)  (0.037461-0.020688j)  (0.033201+0.047894j)
