 (-0.942369-0.024110j)  (0.033891+0.048480j)  (0.026122+0.099071j)  (-0.046872-0.000946j)  (0.012234-0.044863j)  (-0.019360-0.023197j)  (-0.007127+0.015763j)  (0.004028-0.021796j)  (0.004980+0.012386j)  (0.017593-0.095824j)  (0.036532+0.081637j)  (-0.006550+0.017717j)  (-0.025039+0.024932j)  (-0.026346-0.029376j)  (-0.058637-0.011414j)  (0.000451-0.162887j)  (-0.004898+0.022751j)  (0.034136-0.040580j)  (0.047680+0.004549j)  (0.001335-0.008134j)  (-0.018679+0.025407j)  (-0.006238-0.039965j)  (0.079484+0.002210j)  (-0.033851-0.012883j)  (-0.025086-0.008919j)  (-0.019023+0.001306j)  (-0.007111+0.003964j)  (-0.035300+0.020019j)  (0.017243+0.009016j)  (0.055769-0.038360j)  (0.031177+0.121874j)  (-0.017896-0.022232j)
 (0.020695-0.020434j)  (-0.007081-0.011486j)  (-0.054856-0.134619j)  (0.022449+0.034157j)  (-0.019071-0.030717j)  (0.010510+0.031407j)  (-0.007562-0.006809j)  (0.006706+0.023231j)  (0.004290-0.001506j)  (0.043160+0.025176j)  (-0.014385+0.000334j)  (-0.006161+0.006820j)  (0.015755-0.011744j)  (0.007697+0.015211j)  (-0.020179-0.131982j)  (0.021233-0.064363j)  (0.061728+0.018363j)  (0.050795-0.030217j)  (0.028350-0.019143j)  (0.009949+0.025797j)  (-0.039801-0.062993j)  (-0.927625-0.053888j)  (-0.038886+0.047563j)  (0.057525+0.014231j)  (-0.066774-0.108526j)  (-0.029587-0.084435j)  (-0.039229+0.108230j)  (0.013954+0.088688j)  (-0.026660+0.026025j)  (0.024318-0.047909j)  (0.032047+0.073976j)  (-0.058449-0.040267j)
 (-0.063128+0.024673j)  (0.001928+0.081939j)  (-0.054339+0.076131j)  (0.042511-0.036689j)  (0.064761+0.049530j)  (0.001475+0.012094j)  (-0.070179+0.062369j)  (-0.008262-0.010893j)  (0.050749-0.073068j)  (0.025206+0.020184j)  (0.013394+0.073617j)  (0.015960-0.075789j)  (-0.004713-0.078856j)  (0.013500-0.011722j)  (-0.005464+0.008504j)  (-0.014180-0.059286j)  (0.011257-0.019967j)  (-0.001674+0.012909j)  (-0.026928+0.004493j)  (0.023694-0.024888j)  (-0.006202-0.006156j)  (0.022874+0.013160j)  (-0.943159+0.029655j)  (-0.052667+0.021116j)  (-0.049048+0.040839j)  (0.022471-0.004710j)  (0.016564+0.074047j)  (0.044980-0.057472j)  (-0.012382-0.092334j)  (0.018830+0.000863j)  (-0.015861+0.027214j)  (0.043527+0.073552j)
 (0.013845-0.016997j)  (-0.022847-0.085234j)  (-0.053798-0.116369j)  (0.003719+0.018874j)  (-0.044540+0.000996j)  (0.014794+0.020284j)  (0.050938-0.081875j)  (-0.005040+0.038759j)  (0.022700+0.017857j)  (0.012146-0.026094j)  (-0.025649-0.042778j)  (-0.012025-0.021196j)  (0.007421-0.004248j)  (-0.011089+0.023842j)  (0.007559+0.038761j)  (-0.003213-0.014051j)  (0.005817-0.029006j)  (-0.018410+0.007053j)  (-0.000130+0.001419j)  (-0.000618-0.005522j)  (0.004739-0.007001j)  (-0.026345+0.007167j)  (0.022376+0.044589j)  (-0.963749-0.056513j)  (0.002871+0.052459j)  (0.032001-0.016680j)  (-0.023354+0.059126j)  (0.010080+0.069377j)  (-0.025757+0.021310j)  (-0.009537+0.016205j)  (0.011040+0.014732j)  (-0.003576-0.052541j)
 (0.020185-0.016738j)  (-0.011041-0.009260j)  (0.013484+0.014984j)  (0.021454+0.094256j)  (0.015011+0.020584j)  (-0.027925+0.006946j)  (-0.024171+0.003220j)  (0.009544+0.067885j)  (0.017871-0.069456j)  (-0.011891-0.021447j)  (-0.002414+0.053738j)  (0.020875+0.125768j)  (0.037628+0.026306j)  (-0.039103+0.042220j)  (-0.023190+0.006762j)  (0.015772+0.074467j)  (-0.008253+0.064751j)  (-0.032651+0.041943j)  (-0.002040+0.012762j)  (-0.008543+0.051355j)  (-0.016625+0.004562j)  (0.048011-0.105918j)  (0.045919+0.051452j)  (-0.014540+0.054520j)  (-0.932597+0.055503j)  (-0.014442+0.126312j)  (0.004559+0.013809j)  (-0.086362+0.010084j)  (0.016206-0.091385j)  (-0.040752-0.011951j)  (-0.028382-0.043341j)  (-0.049377+0.043336j)
 (-0.004400-0.012335j)  (0.002516+0.018533j)  (-0.012357+0.015478j)  (0.029220+0.077730j)  (0.007941+0.026196j)  (-0.027357-0.005353j)  (-0.024786+0.003648j)  (-0.006558-0.027768j)  (0.075976-0.108890j)  (0.020415-0.004636j)  (0.033326-0.120041j)  (0.000585-0.008501j)  (-0.004916-0.091829j)  (0.027644+0.033165j)  (-0.009981+0.000110j)  (-0.026806+0.073293j)  (-0.023349+0.065961j)  (-0.006933-0.004991j)  (-0.003527+0.018740j)  (-0.029216-0.046728j)  (-0.005248-0.000178j)  (0.010731-0.089392j)  (-0.003715-0.011242j)  (-0.026172-0.021573j)  (0.048947+0.122793j)  (-0.946773+0.003251j)  (-0.030794+0.006236j)  (0.025202-0.001835j)  (-0.016830-0.006805j)  (-0.057715-0.033493j)  (-0.026273+0.006697j)  (0.008234+0.013487j)
 (0.009665+0.002303j)  (0.007009+0.052160j)  (0.000874+0.000083j)  (0.015390+0.008483j)  (-0.005968+0.047871j)  (-0.009552+0.004082j)  (-0.018978+0.113417j)  (-0.000325-0.012019j)  (-0.036058+0.039284j)  (0.011751+0.015960j)  (0.008266+0.009870j)  (-0.011453+0.005743j)  (-0.004309-0.010327j)  (-0.033751+0.002238j)  (-0.023280+0.016177j)  (0.012202+0.007205j)  (-0.002395+0.083185j)  (-0.002014-0.017934j)  (0.015323+0.018385j)  (0.001825-0.035522j)  (-0.006776+0.088956j)  (0.034111+0.109279j)  (0.005622+0.069558j)  (0.009459+0.064557j)  (0.000030+0.009524j)  (0.027362+0.005701j)  (-0.962746+0.017629j)  (0.042270+0.038805j)  (-0.019220-0.058555j)  (-0.011182-0.001594j)  (0.023522+0.002563j)  (0.007058-0.002868j)
 (0.010801+0.011926j)  (-0.015718+0.006782j)  (0.017337-0.007489j)  (0.008265+0.004577j)  (-0.029998+0.095538j)  (-0.003087+0.000597j)  (0.031094-0.009285j)  (-0.018611-0.013021j)  (0.000157-0.076979j)  (-0.028903+0.083444j)  (0.015318-0.003558j)  (0.009514+0.046909j)  (0.006301-0.009774j)  (-0.007537-0.003572j)  (0.017258-0.069560j)  (0.013637+0.012073j)  (-0.025375-0.055171j)  (0.011922-0.011641j)  (-0.013109-0.016564j)  (-0.014500-0.002579j)  (0.055536-0.035080j)  (-0.004780+0.118957j)  (-0.049263-0.048462j)  (-0.008419+0.058612j)  (0.076390+0.016612j)  (-0.020471-0.014712j)  (-0.034672+0.051331j)  (-0.956665+0.040098j)  (0.020970+0.017152j)  (-0.038692+0.014542j)  (0.011776+0.052213j)  (-0.021282-0.030043j)
 (-0.024753+0.012441j)  (0.016434-0.076738j)  (0.004083-0.005217j)  (-0.005567+0.009854j)  (-0.013639-0.010793j)  (0.034824-0.092491j)  (-0.053512+0.042586j)  (-0.023845+0.023484j)  (0.006729+0.039403j)  (0.017521-0.009658j)  (-0.002891+0.043282j)  (0.013983+0.009525j)  (-0.039210-0.094442j)  (0.005847-0.006635j)  (-0.011394-0.003369j)  (0.028601+0.044105j)  (-0.006342+0.029444j)  (-0.001199-0.027869j)  (0.014996+0.014364j)  (0.002950-0.024573j)  (-0.002590-0.073767j)  (0.029017+0.036132j)  (0.007583-0.086762j)  (0.007080+0.018954j)  (-0.018138-0.091027j)  (0.006016-0.002962j)  (0.018844-0.055329j)  (-0.024630+0.005788j)  (-0.960907-0.013728j)  (-0.008726+0.007071j)  (0.000013-0.024179j)  (-0.049386+0.041392j)
 (-0.035672-0.016335j)  (-0.075260+0.006141j)  (-0.065450+0.091811j)  (0.058679-0.107778j)  (-0.002022+0.014553j)  (-0.020770-0.024595j)  (-0.008216-0.000382j)  (0.005732+0.081450j)  (0.014163-0.006108j)  (-0.010985-0.101547j)  (-0.020678+0.006004j)  (0.032844-0.138883j)  (0.024900+0.085152j)  (-0.005544-0.039639j)  (-0.025759-0.074645j)  (0.006968-0.028452j)  (0.033695+0.001079j)  (-0.015644+0.011967j)  (0.023139+0.059445j)  (-0.102930+0.018784j)  (-0.011119-0.009851j)  (-0.018147-0.060533j)  (0.002858+0.001868j)  (0.008448-0.004755j)  (0.020306-0.028211j)  (0.047476-0.055406j)  (0.000342-0.003121j)  (0.016700+0.014813j)  (-0.003492-0.013245j)  (-0.936532-0.016639j)  (0.019112-0.004839j)  (0.053301-0.015653j)
 (-0.034708+0.131557j)  (-0.004762+0.008604j)  (0.036212-0.022359j)  (-0.006477-0.017193j)  (-0.012872+0.009464j)  (-0.006374-0.039221j)  (0.004326+0.010651j)  (-0.002284+0.086263j)  (-0.005639-0.029088j)  (0.013654-0.011123j)  (0.024442+0.052729j)  (0.015301-0.066335j)  (0.004589+0.004977j)  (-0.001542+0.060382j)  (0.031397+0.000489j)  (0.071889-0.024789j)  (0.043257-0.038549j)  (0.008614+0.000750j)  (0.015468+0.002628j)  (-0.027085-0.022627j)  (-0.037341-0.034383j)  (-0.025512+0.096842j)  (0.030821+0.022365j)  (-0.008068+0.020225j)  (0.014846-0.059395j)  (-0.001755-0.001657j)  (-0.011569+0.010081j)  (0.001543+0.052962j)  (0.014558-0.036091j)  (0.001678-0.012760j)  (-0.958534-0.023036j)  (0.052948-0.010694j)
 (0.021581-0.009377j)  (-0.057350-0.004886j)  (0.013103+0.070851j)  (0.035257-0.084339j)  (0.026483+0.033565j)  (-0.005228+0.007453j)  (-0.024539+0.038654j)  (0.002796-0.006976j)  (0.039750-0.011936j)  (-0.017854+0.012038j)  (-0.002989-0.012204j)  (-0.050985-0.083054j)  (-0.016462+0.115921j)  (0.022200-0.013411j)  (-0.014891+0.013760j)  (-0.043880-0.019102j)  (-0.020401+0.032924j)  (-0.009120+0.021296j)  (-0.006689-0.040360j)  (0.003718+0.000920j)  (-0.020250+0.050072j)  (0.033660-0.045053j)  (-0.036672+0.060841j)  (0.001465-0.059931j)  (0.044535+0.064414j)  (0.004485+0.012455j)  (-0.005147-0.003245j)  (0.008553-0.021443j)  (0.008729+0.027750j)  (-0.014170-0.034671j)  (-0.068018-0.020848j)  (-0.951695-0.106022j)
